paper	sample_alias	frac	numPeaks_def_br	numNovelPeaks_def_br	numLostPeaks_def_br	numPeaks_def_na	numNovelPeaks_def_na	numLostPeaks_def_na	numGenes_def_br	numGenes_def_na	numNovelGenes_def_br	numNovelGenes_def_na	numLostGenes_def_br	numLostGenes_def_na	orig.numPeaks_def_br	orig.numPeaks_def_na	orig.numGenes_def_br	orig.numGenes_def_na	br.frac_novel_peaks	br.frac_novel_genes	br.frac_lost_peaks	br.frac_lost_genes	na.frac_novel_peaks	na.frac_novel_genes	na.frac_lost_peaks	na.frac_lost_genes
LaraAstiaso	GSM1463172	90	52138.7	328.4	3691.7	54967.3	2434.2	1597.9	12835.9	12639.5	13.6	106.7	148.7	48.2	55423	53972	12971	12581	0.00629849831673579	0.00105945647236524	0.0666095303393898	0.0114640351553465	0.0442840804682754	0.00844160023691634	0.0296060920477285	0.00383117399252842
LaraAstiaso	GSM1463173	90	46565.9	754	4969.9	37684.9	467.8	3825.7	12981.3	12013.7	68.2	46.9	346.9	269.2	50739	40923	13260	12236	0.0161920231971881	0.00525327349862038	0.0979502946451448	0.0261613876319759	0.0124133985190691	0.00390357493105543	0.093485326100237	0.0220006538084341
LaraAstiaso	GSM1463174	90	27176.9	466.1	2244.4	25879.6	2988.3	981.3	10677.7	10308.5	49	270.1	190.3	119.6	28942	23842	10819	10158	0.0171495344320347	0.0045887981355583	0.0775481998479718	0.0175894260097976	0.115467746986597	0.0262011261425258	0.0411584598607499	0.0117739712541839
LaraAstiaso	GSM1463175	90	47522.8	350.4	3563.2	48676.1	516.8	3585.3	12513.9	12272.9	14.2	15.1	155.3	148.2	50670	51520	12655	12406	0.00737323464888348	0.00113470326661063	0.0703216893625419	0.0122718293164757	0.0106170654378383	0.00123024602717274	0.069590450310559	0.0119458326616153
LaraAstiaso	GSM1463176	90	29868.2	3712.4	1665	24065.7	341.9	2342.6	10684.7	10020.6	245.2	26.8	127.5	218.2	27812	26003	10567	10212	0.124291703988511	0.0229473851989875	0.0598662447864231	0.0120658654301126	0.0142062331313231	0.00267442159408466	0.0900896050455717	0.0213670191931062
LaraAstiaso	GSM1463177	90	42567.8	245.5	2212	45478.4	1958.2	1165.1	12519.5	12345.9	14.6	128	145.1	45.1	44469	44551	12650	12263	0.00576722983385288	0.00116616553129469	0.0497425172592143	0.0114703557312253	0.0430573119410003	0.0103669521653458	0.0261520504590245	0.00367772975617712
LaraAstiaso	GSM1463178	90	37283.3	4238.5	1077.4	32851.9	488.3	2311.1	11960.9	11362.9	261.1	32.6	79.2	159.7	34098	34510	11779	11490	0.113683097139071	0.0218284351041255	0.0315971611238196	0.00672383054588675	0.0148631805543521	0.0028687714890266	0.0669689944943495	0.0138990426457789
LaraAstiaso	GSM1463179	90	80485.1	6496.1	1784.1	74463.9	641.7	5822.1	14989.7	14358.1	208.5	25	77.8	199.9	75738	79304	14859	14533	0.0807114904058294	0.0139090965746392	0.0235562069238691	0.00523588397604146	0.00861756932530145	0.00174110438120972	0.073414960153334	0.0137549026353815
LaraAstiaso	GSM1463180	90	82762	736.4	6670.7	83704.3	5766.9	2981.5	14921.3	14485.9	27.6	181.2	234.3	136.3	88590	80772	15128	14441	0.00889774567923474	0.00184968508895849	0.0752985664296196	0.0154878371232152	0.0688958165077827	0.0125083356245989	0.0369125439508741	0.0094384045426217
LaraAstiaso	GSM1463181	90	36394.5	726.3	3978.3	33983.8	762.3	3644.1	11997.8	11378.7	62	59.3	285.2	282.6	39612	36712	12221	11602	0.0199561093783975	0.00516739212461039	0.100431687367464	0.0233368791424597	0.0224306879308356	0.00521060438107899	0.0992618217476574	0.0243578693328736
Wang	GSM1667040	90	30190	801.8	4638.4	20184	398.1	3156.5	8855	6838	100.6	71.1	623.6	588.1	34003	22878	9378	7355	0.0265582177970377	0.011359737257642	0.13641149310355	0.0664960545958627	0.0197182949925447	0.0103931955459423	0.137970976483958	0.0799592114208022
Wang	GSM1667041	90	25717.8	1018.5	3741.6	19664.6	3735.4	1899.7	7614.8	6085.7	185.6	599.2	612.8	433.5	28429	17811	8042	5920	0.039601955214011	0.0243725755251713	0.131612086249956	0.0761999502611291	0.189953837315293	0.0984575465684347	0.106658806355623	0.0732263513513514
Wang	GSM1667042	90	39897.5	420.8	4921.5	37822.6	688.5	4990.3	11482.5	10631.5	52.7	85.8	526.2	564.3	44342	41851	11956	11110	0.0105469776488342	0.0045888983515982	0.110989580984169	0.04401137504182	0.0182032630591493	0.00807052488262562	0.119239683639579	0.0507920792079208
Wang	GSM1667043	90	33802.4	506	4086	30065.9	753	4190.7	10626.1	9498.9	79.9	113.2	534.8	584.3	37341	33350	11081	9970	0.0149692949884278	0.00751906378182545	0.10942395758014	0.0482627921667719	0.0250438194769888	0.0119163359391673	0.125658170914543	0.0586058174523571
Tong	GSM1913599	90	29401.5	678.7	3410.8	26337.1	1845.7	1979.1	9979	9079.7	99.6	193.8	417.6	358.1	32115	26426	10297	9244	0.0230832257795769	0.0099800281201171	0.106205822824225	0.0405555016024085	0.0700782964310476	0.0213428938333285	0.074892151668811	0.0387386412808308
Tong	GSM1913600	90	36398.3	468.2	3704.5	35703.3	622.2	3565.8	11318	10742.1	52.3	59.7	314.3	297.6	39585	38489	11580	10980	0.0128628519082598	0.00462074791661243	0.0935834280661867	0.0271416234887737	0.0174265283531323	0.00555755375148637	0.0926446517186729	0.027103825136612
Tong	GSM1913601	90	20745.1	307.6	2914	19123.4	758	1356.5	10191.2	9559.1	47.5	109.2	427.3	265.1	23339	19657	10571	9715	0.014827358494356	0.00465938933913247	0.124855392261879	0.0404219089963107	0.0396366071022035	0.0114239850062454	0.0690084957012769	0.0272876994338652
Tong	GSM1913602	90	10266.8	822.7	1070.6	7608.9	213.8	1396.6	6267.1	4928.6	275.8	83.4	439.7	600.8	10512	8769	6431	5446	0.0801279336375316	0.0440004171672838	0.101845509893455	0.0683719483750583	0.0280974433106447	0.0169191169848834	0.159265594708633	0.110319500550863
