paper	sample_alias	frac	repl	numPeaks_def_br	numNovelPeaks_def_br	numLostPeaks_def_br	numPeaks_def_na	numNovelPeaks_def_na	numLostPeaks_def_na	numGenes_def_br	numGenes_def_na	numNovelGenes_def_br	numNovelGenes_def_na	numLostGenes_def_br	numLostGenes_def_na	orig.numPeaks_def_br	orig.numPeaks_def_na	orig.numGenes_def_br	orig.numGenes_def_na
LaraAstiaso	GSM1463172	90	1	52236	343	3634	54962	2482	1628	12834	12636	14	102	151	47	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	2	52009	307	3801	54946	2382	1577	12840	12641	13	110	144	50	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	3	52096	345	3748	54929	2409	1614	12829	12641	14	104	156	44	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	4	52058	353	3785	54956	2445	1614	12831	12631	18	105	158	55	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	5	52175	301	3635	54978	2439	1600	12838	12629	12	97	145	49	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	6	52201	345	3631	55013	2468	1589	12837	12640	12	104	146	45	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	7	52103	305	3703	54972	2431	1566	12821	12640	10	106	160	47	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	8	52224	331	3627	55058	2490	1584	12860	12652	17	115	128	44	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	9	52128	325	3690	54889	2364	1602	12842	12649	14	115	143	47	55423	53972	12971	12581
LaraAstiaso	GSM1463172	90	10	52157	329	3663	54970	2432	1605	12827	12636	12	109	156	54	55423	53972	12971	12581
LaraAstiaso	GSM1463173	90	1	46596	780	4963	37767	473	3765	12983	12036	78	57	355	257	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	2	46630	746	4892	37644	469	3859	12996	12014	67	55	331	277	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	3	46471	776	5081	37657	473	3853	12976	12008	66	41	350	269	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	4	46493	742	5040	37667	441	3817	12965	12008	65	34	360	262	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	5	46527	763	5016	37674	447	3810	12951	12013	56	50	365	273	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	6	46672	731	4854	37726	472	3801	12981	12016	65	54	344	274	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	7	46513	751	5012	37689	483	3831	13001	12013	76	45	335	268	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	8	46658	776	4899	37638	462	3864	13002	12027	73	46	331	255	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	9	46492	706	4996	37641	484	3879	12963	12006	66	45	363	275	50739	40923	13260	12236
LaraAstiaso	GSM1463173	90	10	46607	769	4946	37746	474	3778	12995	11996	70	42	335	282	50739	40923	13260	12236
LaraAstiaso	GSM1463174	90	1	27229	472	2195	25892	3031	1020	10681	10297	53	274	191	135	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	2	27255	478	2181	25890	3026	1016	10696	10315	37	275	160	118	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	3	27222	475	2202	25890	2966	945	10685	10331	49	274	183	101	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	4	27074	428	2308	25814	2937	993	10684	10301	50	270	185	127	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	5	27250	505	2206	25948	3027	964	10661	10282	43	260	201	136	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	6	27139	468	2288	25830	2967	1008	10651	10296	50	271	218	133	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	7	27199	448	2204	25918	3021	959	10696	10327	57	283	180	114	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	8	27120	457	2296	25886	2994	973	10664	10309	48	253	203	102	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	9	27118	467	2309	25819	2928	984	10661	10310	46	260	204	108	28942	23842	10819	10158
LaraAstiaso	GSM1463174	90	10	27163	463	2255	25909	2986	951	10698	10317	57	281	178	122	28942	23842	10819	10158
LaraAstiaso	GSM1463175	90	1	47502	345	3584	48674	505	3575	12511	12270	22	12	166	148	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	2	47483	355	3597	48690	520	3567	12513	12272	11	12	153	146	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	3	47524	338	3552	48689	541	3609	12513	12258	10	18	152	166	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	4	47458	334	3607	48696	504	3554	12505	12275	15	14	165	145	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	5	47578	352	3499	48638	520	3597	12503	12279	9	15	161	142	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	6	47496	373	3624	48591	518	3680	12513	12280	15	19	157	145	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	7	47506	354	3579	48683	499	3560	12511	12262	15	8	159	152	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	8	47567	351	3515	48718	550	3594	12525	12287	14	21	144	140	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	9	47495	341	3585	48642	499	3609	12524	12275	17	18	148	149	50670	51520	12655	12406
LaraAstiaso	GSM1463175	90	10	47619	361	3490	48740	512	3508	12521	12271	14	14	148	149	50670	51520	12655	12406
LaraAstiaso	GSM1463176	90	1	29864	3706	1666	24015	314	2365	10678	10022	229	29	118	219	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	2	29797	3655	1673	24068	333	2321	10671	10019	235	21	131	214	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	3	29868	3722	1671	24122	352	2294	10676	10020	244	32	135	224	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	4	29847	3693	1665	24012	335	2387	10668	10033	230	23	129	202	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	5	29869	3697	1643	24035	314	2351	10696	9999	251	19	122	232	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	6	29864	3711	1677	24133	349	2292	10669	10029	241	28	139	211	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	7	29872	3681	1632	24076	318	2320	10701	10032	250	25	116	205	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	8	29855	3715	1683	24119	373	2306	10683	10021	244	31	128	222	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	9	29919	3811	1713	24010	355	2407	10709	10017	276	24	134	219	27812	26003	10567	10212
LaraAstiaso	GSM1463176	90	10	29927	3733	1627	24067	376	2383	10696	10014	252	36	123	234	27812	26003	10567	10212
LaraAstiaso	GSM1463177	90	1	42599	245	2183	45446	1928	1158	12519	12355	14	130	145	38	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	2	42511	252	2262	45462	1959	1184	12510	12342	17	116	157	37	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	3	42541	245	2237	45495	1940	1129	12504	12327	14	115	160	51	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	4	42562	247	2224	45409	1926	1198	12504	12323	12	111	158	51	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	5	42568	256	2202	45514	1972	1159	12523	12348	12	139	139	54	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	6	42634	264	2166	45526	2031	1200	12535	12365	16	135	131	33	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	7	42586	224	2177	45482	1980	1164	12522	12340	16	133	144	56	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	8	42588	230	2191	45517	1994	1163	12532	12367	12	144	130	40	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	9	42510	236	2255	45439	1896	1137	12524	12336	17	120	143	47	44469	44551	12650	12263
LaraAstiaso	GSM1463177	90	10	42579	256	2223	45494	1956	1159	12522	12356	16	137	144	44	44469	44551	12650	12263
LaraAstiaso	GSM1463178	90	1	37243	4234	1119	32835	479	2323	11940	11362	253	27	92	155	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	2	37252	4230	1093	32863	484	2280	11964	11381	261	41	76	150	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	3	37230	4165	1062	32894	524	2303	11949	11363	247	35	77	162	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	4	37364	4293	1052	32850	502	2315	11966	11361	264	24	77	153	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	5	37273	4233	1072	32798	462	2356	11973	11347	267	33	73	176	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	6	37277	4220	1067	32908	478	2244	11953	11356	256	33	82	167	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	7	37343	4255	1031	32858	503	2310	11966	11381	261	34	74	143	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	8	37309	4249	1070	32846	507	2322	11978	11354	279	33	80	169	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	9	37233	4260	1154	32750	456	2390	11934	11346	247	30	92	174	34098	34510	11779	11490
LaraAstiaso	GSM1463178	90	10	37309	4246	1054	32917	488	2268	11986	11378	276	36	69	148	34098	34510	11779	11490
LaraAstiaso	GSM1463179	90	1	80589	6570	1734	74498	637	5819	14996	14351	222	24	85	206	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	2	80491	6496	1798	74433	616	5831	14998	14373	207	29	68	189	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	3	80428	6438	1775	74550	651	5744	14992	14354	205	16	72	195	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	4	80474	6496	1801	74483	653	5829	14990	14357	213	27	82	203	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	5	80410	6408	1795	74479	654	5855	14972	14357	187	21	74	197	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	6	80414	6465	1819	74451	613	5762	14987	14368	204	32	76	197	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	7	80455	6517	1835	74434	639	5847	14975	14359	204	20	88	194	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	8	80513	6459	1721	74464	670	5839	15003	14341	221	27	77	219	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	9	80515	6548	1806	74495	639	5800	15006	14359	223	25	76	199	75738	79304	14859	14533
LaraAstiaso	GSM1463179	90	10	80562	6564	1757	74352	645	5895	14978	14362	199	29	80	200	75738	79304	14859	14533
