paper	sample_alias	Gene_TSS_covered	TSS_covered
LaraAstiaso	GSM1463172	13207	13596
LaraAstiaso	GSM1463173	13518	13877
LaraAstiaso	GSM1463174	11057	11253
LaraAstiaso	GSM1463175	12906	13248
LaraAstiaso	GSM1463176	10815	10995
LaraAstiaso	GSM1463177	12890	13240
LaraAstiaso	GSM1463178	12041	12310
LaraAstiaso	GSM1463179	15077	15631
LaraAstiaso	GSM1463180	15343	15920
LaraAstiaso	GSM1463181	12503	12778
LaraAstiaso	GSM1973012	10543	10692
Wang	GSM1667040	9574	9745
Wang	GSM1667041	8235	8343
Wang	GSM1667042	12216	12486
Wang	GSM1667043	11338	11556
Shih	GSM2056292	12624	12922
Shih	GSM2056293	12496	12773
Shih	GSM2056294	13024	13338
Shih	GSM2056295	12117	12361
Shih	GSM2056296	14053	14477
Shih	GSM2056297	13256	13581
Shih	GSM2056298	13655	14050
Shih	GSM2056299	13837	14238
Shih	GSM2056300	12338	12621
Shih	GSM2056301	12492	12794
Shih	GSM2056302	11686	11925
Shih	GSM2056303	11406	11627
Shih	GSM2056304	13379	13733
Shih	GSM2056305	12611	12907
Shih	GSM2056306	11889	12142
Shih	GSM2056307	11892	12145
Shih	GSM2056308	13038	13361
Shih	GSM2056309	14044	14448
Shih	GSM2056310	12637	12942
Shih	GSM2056311	11858	12085
Shih	GSM2056312	12018	12271
Shih	GSM2056313	13118	13482
Shih	GSM2056314	12280	12580
Shih	GSM2056315	12553	12853
Shih	GSM2056316	13345	13723
Shih	GSM2056317	13053	13408
Shih	GSM2056318	12692	13013
Shih	GSM2056319	12737	13065
Shih	GSM2056320	12877	13243
Shih	GSM2056321	12905	13273
Shih	GSM2056322	12197	12497
Shih	GSM2056323	12069	12364
Shih	GSM2056324	13359	13723
Shih	GSM2056325	13057	13392
Shih	GSM2056326	12761	13078
Shih	GSM2056327	12083	12319
Shih	GSM2056328	12560	12911
Shih	GSM2056329	12771	13116
Shih	GSM2056330	12819	13167
Shih	GSM2056331	12970	13333
Shih	GSM2056332	11245	11443
Shih	GSM2056333	10367	10524
Shih	GSM2056334	12308	12618
Shih	GSM2056335	12435	12754
Shih	GSM2056336	11001	11209
Shih	GSM2056337	11986	12271
DellOrso	GSM1972411	11396	11629
DellOrso	GSM1972412	11712	11975
DellOrso	GSM1972413	7757	7840
DellOrso	GSM1972414	7723	7811
George	GSM1930178	11627	11863
George	GSM1930179	11675	11888
George	GSM1930180	13082	13442
George	GSM1930181	11572	11772
George	GSM1930182	12568	12841
George	GSM1930183	11867	12103
George	GSM1930184	11434	11633
George	GSM1930185	12655	12950
Atianand	GSM2080017	13447	13838
Atianand	GSM2080018	13514	13899
Atianand	GSM2080019	13813	14245
Atianand	GSM2080020	13650	14063
Atianand	GSM2080021	13523	13925
Atianand	GSM2080022	13638	14050
Atianand	GSM2080023	13052	13412
Atianand	GSM2080024	12869	13207
Atianand	GSM2080025	13490	13886
Atianand	GSM2080026	13710	14114
Atianand	GSM2080027	13709	14147
Atianand	GSM2080028	13195	13579
Mostafavi	GSM1947914	11132	11328
Mostafavi	GSM1947915	11125	11312
Mostafavi	GSM1947916	11180	11378
Mostafavi	GSM1947917	11119	11325
Dieuleveult	GSM1941479	8916	9014
Dieuleveult	GSM1941480	9326	9422
Dieuleveult	GSM1941481	9189	9276
Dieuleveult	GSM1941482	10931	11076
Dieuleveult	GSM1941483	7570	7640
Dieuleveult	GSM1941484	12874	13148
Dieuleveult	GSM1941485	5942	5981
Dieuleveult	GSM1941486	6224	6264
Dieuleveult	GSM1941487	8137	8206
Dieuleveult	GSM1941488	6986	7043
Hay	GSM2077297	10177	10323
Hay	GSM2077298	10489	10659
Hay	GSM2077299	10745	10934
Hay	GSM2077300	10958	11163
Hay	GSM2077301	11371	11613
Hay	GSM2077302	11116	11330
Hay	GSM2077303	10617	10784
Hay	GSM2077304	11307	11531
Hay	GSM2077305	10754	10939
Hay	GSM2077306	11020	11229
Hay	GSM2077307	11800	12062
Hay	GSM2077308	12013	12295
Hay	GSM2077309	11061	11272
Hay	GSM2077310	10756	10941
Hay	GSM2077311	10480	10648
Hay	GSM2077312	10597	10761
Hay	GSM2077313	11254	11480
Hay	GSM2077314	11624	11868
Hay	GSM2077315	11088	11295
Jiang	GSM2123182	5898	5956
Jiang	GSM2123183	2452	2464
Jiang	GSM2123184	8867	8970
Jiang	GSM2123185	8779	8879
Jiang	GSM2123186	9083	9204
Jiang	GSM2123187	9302	9435
Jiang	GSM2123188	7339	7404
Jiang	GSM2123189	9706	9841
Denny	GSM2147562	14181	14667
Denny	GSM2147563	14176	14649
Denny	GSM2147564	10884	11072
Denny	GSM2147565	10313	10478
Denny	GSM2147566	7382	7546
Denny	GSM2147567	5881	6009
Denny	GSM2147568	10941	11143
Denny	GSM2147569	12961	13293
Denny	GSM2147570	14557	15018
Denny	GSM2147571	12286	12556
Denny	GSM2147572	8922	9039
Denny	GSM2147573	12567	12833
Denny	GSM2147574	12951	13239
Denny	GSM2147575	10671	10874
Denny	GSM2147576	10581	10773
Denny	GSM2147577	13214	13571
Denny	GSM2147578	13069	13411
Denny	GSM2147579	12861	13165
Denny	GSM2147580	12534	12790
Denny	GSM2147581	11478	11694
Denny	GSM2147582	10221	10395
Denny	GSM2147583	8074	8203
Denny	GSM2147584	11345	11605
Denny	GSM2147585	11278	11495
Denny	GSM2147586	11114	11327
Denny	GSM2147587	7828	7897
Denny	GSM2147588	10931	11099
Denny	GSM2147589	11670	11919
Denny	GSM2147590	13247	13606
Denny	GSM2147591	11540	11794
Denny	GSM2147592	7873	7994
Denny	GSM2147593	10614	10811
Denny	GSM2147594	9701	9859
Denny	GSM2147595	7596	7698
Denny	GSM2147596	6901	6996
Denny	GSM2147597	9442	9610
Denny	GSM2147598	7099	7186
Denny	GSM2147599	8533	8652
Denny	GSM2147600	7085	7166
Denny	GSM2147601	6736	6828
Denny	GSM2147602	7909	8062
Denny	GSM2147603	10688	10917
Denny	GSM2147604	10626	10846
Denny	GSM2147605	2898	2909
Denny	GSM2147606	3458	3474
Denny	GSM2147607	4765	4795
Denny	GSM2147608	6108	6140
Denny	GSM2147609	4875	4909
Denny	GSM2147610	3240	3253
Denny	GSM2147611	5644	5693
Denny	GSM2147612	6768	6819
Denny	GSM2147613	9624	9769
Denny	GSM2147614	7293	7370
Denny	GSM2147615	12073	12319
Denny	GSM2147616	11246	11447
Denny	GSM2147617	6339	6393
Denny	GSM2147618	5667	5715
Denny	GSM2147619	4408	4428
Denny	GSM2147620	6706	6763
Tong	GSM1913599	10515	10697
Tong	GSM1913600	11823	12079
Tong	GSM1913601	10839	10993
Tong	GSM1913602	6562	6605
Tong	GSM1913603	12542	12835
Tong	GSM1913604	9851	9989
Tong	GSM1913605	13593	14015
Tong	GSM1913606	9098	9226
