paper	sample_alias	Broad_GeneTSS_covered	Broad_TSS_covered	Narrow_GeneTSS_covered	Narrow_TSS_covered
LaraAstiaso	GSM1463172	13207	13596	12816	13169
LaraAstiaso	GSM1463173	13518	13877	12505	12775
LaraAstiaso	GSM1463174	11057	11253	10389	10544
LaraAstiaso	GSM1463175	12906	13248	12671	12990
LaraAstiaso	GSM1463176	10815	10995	10453	10613
LaraAstiaso	GSM1463177	12890	13240	12508	12827
LaraAstiaso	GSM1463178	12041	12310	11754	12001
LaraAstiaso	GSM1463179	15077	15631	14765	15276
LaraAstiaso	GSM1463180	15343	15920	14631	15146
LaraAstiaso	GSM1463181	12503	12778	11877	12110
LaraAstiaso	GSM1973012	10543	10692	9948	10062
Wang	GSM1667040	9574	9745	7510	7609
Wang	GSM1667041	8235	8343	6045	6099
Wang	GSM1667042	12216	12486	11358	11585
Wang	GSM1667043	11338	11556	10219	10378
Shih	GSM2056292	12624	12922	12010	12253
Shih	GSM2056293	12496	12773	11839	12071
Shih	GSM2056294	13024	13338	12131	12379
Shih	GSM2056295	12117	12361	10800	10988
Shih	GSM2056296	14053	14477	13552	13906
Shih	GSM2056297	13256	13581	12534	12800
Shih	GSM2056298	13655	14050	13409	13771
Shih	GSM2056299	13837	14238	13284	13631
Shih	GSM2056300	12338	12621	11947	12201
Shih	GSM2056301	12492	12794	11926	12189
Shih	GSM2056302	11686	11925	10807	10994
Shih	GSM2056303	11406	11627	11016	11212
Shih	GSM2056304	13379	13733	12731	13015
Shih	GSM2056305	12611	12907	11780	12018
Shih	GSM2056306	11889	12142	11290	11500
Shih	GSM2056307	11892	12145	11621	11856
Shih	GSM2056308	13038	13361	12370	12636
Shih	GSM2056309	14044	14448	13570	13921
Shih	GSM2056310	12637	12942	12092	12347
Shih	GSM2056311	11858	12085	11185	11367
Shih	GSM2056312	12018	12271	11618	11829
Shih	GSM2056313	13118	13482	12644	12967
Shih	GSM2056314	12280	12580	11970	12238
Shih	GSM2056315	12553	12853	12261	12535
Shih	GSM2056316	13345	13723	13121	13473
Shih	GSM2056317	13053	13408	12769	13087
Shih	GSM2056318	12692	13013	12473	12768
Shih	GSM2056319	12737	13065	12278	12576
Shih	GSM2056320	12877	13243	12708	13056
Shih	GSM2056321	12905	13273	12621	12959
Shih	GSM2056322	12197	12497	11822	12090
Shih	GSM2056323	12069	12364	11649	11915
Shih	GSM2056324	13359	13723	12919	13244
Shih	GSM2056325	13057	13392	12759	13053
Shih	GSM2056326	12761	13078	12512	12801
Shih	GSM2056327	12083	12319	11278	11467
Shih	GSM2056328	12560	12911	12272	12585
Shih	GSM2056329	12771	13116	12429	12741
Shih	GSM2056330	12819	13167	12514	12837
Shih	GSM2056331	12970	13333	12835	13180
Shih	GSM2056332	11245	11443	10851	11021
Shih	GSM2056333	10367	10524	9723	9851
Shih	GSM2056334	12308	12618	11991	12272
Shih	GSM2056335	12435	12754	12116	12410
Shih	GSM2056336	11001	11209	10366	10540
Shih	GSM2056337	11986	12271	11590	11850
DellOrso	GSM1972411	11396	11629	10668	10866
DellOrso	GSM1972412	11712	11975	10951	11177
DellOrso	GSM1972413	7757	7840	6655	6711
