paper	sample_alias	sample_accession	library_layout	num_reps	color
LaraAstiaso	GSM1463172	SRS672103	SINGLE	3	deeppink
LaraAstiaso	GSM1463173	SRS672104	SINGLE	2	deeppink
LaraAstiaso	GSM1463174	SRS672106	SINGLE	1	deeppink
LaraAstiaso	GSM1463175	SRS672105	SINGLE	4	deeppink
LaraAstiaso	GSM1463176	SRS672107	SINGLE	2	deeppink
LaraAstiaso	GSM1463177	SRS672108	SINGLE	2	deeppink
LaraAstiaso	GSM1463178	SRS672109	SINGLE	1	deeppink
LaraAstiaso	GSM1463179	SRS672110	SINGLE	3	deeppink
LaraAstiaso	GSM1463180	SRS672111	SINGLE	3	deeppink
LaraAstiaso	GSM1463181	SRS672112	SINGLE	3	deeppink
LaraAstiaso	GSM1973012	SRS1207304	SINGLE	1	deeppink
Wang	GSM1667040	SRS923060	PAIRED	1	blue
Wang	GSM1667041	SRS923059	PAIRED	1	blue
Wang	GSM1667042	SRS923058	SINGLE	1	blue
Wang	GSM1667043	SRS923057	SINGLE	1	blue
Shih	GSM2056292	SRS1279887	PAIRED	1	gold
Shih	GSM2056293	SRS1279886	PAIRED	1	gold
Shih	GSM2056294	SRS1279885	PAIRED	1	gold
Shih	GSM2056295	SRS1279884	PAIRED	1	gold
Shih	GSM2056296	SRS1279883	PAIRED	1	gold
Shih	GSM2056297	SRS1279882	PAIRED	1	gold
Shih	GSM2056298	SRS1279881	PAIRED	1	gold
Shih	GSM2056299	SRS1279880	PAIRED	1	gold
Shih	GSM2056300	SRS1279879	PAIRED	1	gold
Shih	GSM2056301	SRS1279878	PAIRED	1	gold
Shih	GSM2056302	SRS1279877	PAIRED	1	gold
Shih	GSM2056303	SRS1279978	PAIRED	1	gold
Shih	GSM2056304	SRS1279977	PAIRED	1	gold
Shih	GSM2056305	SRS1279976	PAIRED	1	gold
Shih	GSM2056306	SRS1279975	PAIRED	1	gold
Shih	GSM2056307	SRS1279974	PAIRED	1	gold
Shih	GSM2056308	SRS1279973	PAIRED	1	gold
Shih	GSM2056309	SRS1279970	PAIRED	1	gold
Shih	GSM2056310	SRS1279972	PAIRED	1	gold
Shih	GSM2056311	SRS1279971	PAIRED	1	gold
