name2	chrom	r.means_2	r.sd_2
Tcea1	chr1	0.955760903531092	0.0915584125708674
Pcmtd1	chr1	0.863131110218294	0.215302888263917
Rrs1	chr1	0.825275657336726	0.400116066247043
1700034P13Rik	chr1	0.744564974777912	0.456586759519664
Vcpip1	chr1	0.703852506584527	0.158564349805812
Tceb1	chr1	0.962992723539128	0.0857551002187402
D030040B21Rik	chr1	0.370653095843936	0.554528815677871
Mcm3	chr1	0.832730681665997	0.727735368956743
Gm13363	chr1	0.164992634257399	0.551448596044819
Ptp4a1	chr1	0.972010178117048	0.015579661622249
Slc39a10	chr1	0.77384938172403	0.41524931922682
Nabp1	chr1	0.761840989241552	0.598633989554038
Gls	chr1	0.945984554260971	0.181554394893085
Hibch	chr1	0.773492254810053	0.527074684165885
Pms1	chr1	0.606803267711263	0.388107673764564
Ormdl1	chr1	0.750680773179769	0.418418820588367
Ccdc150	chr1	0.326190795053792	0.481898129547788
Pnkd	chr1	0.927190750412928	0.205883665907772
Dnpep	chr1	0.919155394848444	0.271684299808044
Cul3	chr1	0.96995669836168	0.0914691308423731
A730008H23Rik	chr1	NA	NA
Hjurp	chr1	0.917637605464042	0.301593678853623
Hdac4	chr1	0.636087674657381	0.322619525914022
Ppip5k2	chr1	0.794473461006205	0.257622427570198
Gin1	chr1	0.649747779117004	0.230257577786706
Pign	chr1	0.630373644033749	0.274452033391366
2310035C23Rik	chr1	0.716976920673184	0.151198607205036
Gm20753	chr1	NA	NA
Phlpp1	chr1	0.648631757510825	0.521851703048971
Kdsr	chr1	0.686308646935405	0.0957546538100978
Ptpn4	chr1	0.656176063568591	0.656309986161332
Slc35f5	chr1	0.716709075487701	0.7050578099192
Zranb3	chr1	0.652694076157314	0.376367126467568
R3hdm1	chr1	0.848801392794964	0.229141556180528
Srgap2	chr1	0.710593277085844	0.288960314271684
Fam72a	chr1	0.511450381679389	0.414044015892148
Trove2	chr1	0.651488772822642	0.217177804562296
Uchl5	chr1	0.860720503548949	0.237444756930494
Tpr	chr1	0.977858131333423	0.0156243024864961
BC003331	chr1	0.841971340565153	0.291103075755547
Swt1	chr1	0.803490915584126	0.179991964644436
Trmt1l	chr1	0.780009820990134	0.197267979108076
Edem3	chr1	0.73804740859783	0.23097183161466
Mrps14	chr1	0.958216151064685	0.0393286014017231
Cacybp	chr1	0.949020133029776	0.126155082362395
Suco	chr1	0.737377795634123	0.246774697558145
Dcaf6	chr1	0.766260434802018	0.453015490379894
Mpc2	chr1	0.946386322039195	0.193205660461587
Fh1	chr1	0.958305432793179	0.169144234632382
Opn3	chr1	0.495290388821928	0.424847105039954
Sdccag8	chr1	0.729922771304853	0.352350341502611
Adss	chr1	0.933842239185751	0.150528994241329
Cenpf	chr1	0.649703138252757	0.814829695102897
Nmt2	chr2	0.863711441453507	0.12124458729521
Rpp38	chr2	0.677023347172001	0.431632516405518
Hspa14	chr2	0.930360251774474	0.194946654167225
Cdnf	chr2	0.49555823400741	0.350921833846703
Nsun6	chr2	0.586938083121289	0.207669300477657
Gm13375	chr2	0.54443998035802	0.655506450604884
Scai	chr2	0.594527030043302	0.353019954466318
Orc4	chr2	0.905763135574305	0.227891611981608
Mbd5	chr2	0.700906209544217	0.465470291504844
Prpf40a	chr2	0.962233828846926	0.0559350029016562
Arl6ip6	chr2	0.80264273916343	0.360341056202848
Ttc21b	chr2	0.610062050801303	0.269809383509665
Tmx2	chr2	0.942011517342976	0.208517476898353
Med19	chr2	0.834739520557118	0.148520155350208
Zdhhc5	chr2	0.867952323556984	0.253426186330967
Fnbp4	chr2	0.909021918664345	0.203696263559663
Hsd17b12	chr2	0.94910941475827	0.205928306772019
Kif18a	chr2	0.603990893263694	0.65104236418017
Lgr4	chr2	0.654077942948975	0.707155930538815
Dut	chr2	0.913575286817553	0.408240703540021
Tmx4	chr2	0.761930270970046	0.407035400205348
Slx4ip	chr2	0.586268470157582	0.218472389625463
Mkks	chr2	0.843756975135039	0.255345743493594
Tasp1	chr2	0.674791303959645	0.32186063122182
Ralgapa2	chr2	0.691710191509308	0.258783090040623
Chd6	chr2	0.790678987545199	0.164724789071916
Osbpl2	chr2	0.836525155127003	0.280076782286505
1810022K09Rik	chr3	0.794830587920182	0.569304941743672
Armc1	chr3	0.855810008481764	0.167403240926744
Mtfr1	chr3	0.865586357751886	0.335208249631713
Hps3	chr3	0.714119905361368	0.282040980313379
Hltf	chr3	0.747868398732199	0.192089638855408
1700125G22Rik	chr3	0.21400830320075	0.470157582250792
Actl6a	chr3	0.911834293111915	0.287665729208517
Ttc14	chr3	0.82210615597518	0.223293602964153
Ccna2	chr3	0.795723405205125	0.828936208204991
Pgrmc2	chr3	0.873041382081157	0.293736886746127
Sclt1	chr3	0.676085889022812	0.257488504977456
D3Ertd751e	chr3	0.571492344091782	0.437792955671622
Rnf13	chr3	0.8739341993661	0.44948886210437
Rap2b	chr3	0.704656042140976	0.516762644524798
Slc33a1	chr3	0.735502879335744	0.447212178027767
Pdcd10	chr3	0.94178831302174	0.14847551448596
