chrom	merged_gene1k.start	merged_gene1k.end	name2
chr1	3203562	3662579	Xkr4
chr1	4279926	4400322	Rp1
chr1	4480008	4488435	Sox17
chr1	4762278	4776807	Mrpl15
chr1	4796973	4837816	Lypla1
chr1	4846774	4888990	Tcea1
chr1	4898656	5061366	Rgs20
chr1	5072166	5153630	Atp6v1h
chr1	5577573	5597214	Oprk1
chr1	5902787	5908479	Npbwr1
chr1	6203742	6267185	Rb1cc1
chr1	6348411	6385812	Fam150a
chr1	6476311	6852021	St18
chr1	7078000	7164709	Pcmtd1
chr1	8348819	9290958	Sntg1
chr1	9534488	9538536	Rrs1
chr1	9537126	9569049	Adhfe1
chr1	9549913	9622173	2610203C22Rik
chr1	9590347	9618223	3110035E14Rik
chr1	9656491	9691290	Mybl1
chr1	9707702	9739463	Vcpip1
chr1	9736728	9762337	1700034P13Rik
chr1	9787210	9893649	Sgk3
chr1	9897718	9932035	Mcmdc2
chr1	9931105	9935199	Snhg6
chr1	9931550	9933624	Snord87
chr1	9949243	9958566	Tcf24
chr1	9957702	10000217	Ppp1r42
chr1	10013680	10029240	Cops5
chr1	10027298	10127849	Cspp1
chr1	10126587	10223751	Arfgef1
chr1	10313799	10711026	Cpa6
chr1	10982545	11294763	Prex2
chr1	11403185	11966983	A830018L16Rik
chr1	12415066	12417187	Mir6341
chr1	12656643	12664171	Gm17644
chr1	12681510	12851453	Sulf1
chr1	12855630	12982216	Slco5a1
chr1	13102508	13118244	Prdm14
chr1	13128185	13365164	Ncoa2
chr1	13553773	13580991	Tram1
chr1	13614979	13651590	Lactb2
chr1	13657851	13692804	Xkr9
chr1	13774765	13778010	Gm5523
chr1	14158038	14301280	Eya1
chr1	14742428	14747047	Msc
chr1	14861728	14909943	Trpa1
chr1	15301532	15705295	Kcnb2
chr1	15794726	15835133	Terf1
chr1	15842942	15883803	Sbspon
chr1	16055059	16084406	4930444P10Rik
chr1	16090375	16095514	Rpl7
chr1	16094962	16123631	Rdh10
chr1	16217890	16510383	Stau2
chr1	16529868	16610419	Ube2w
chr1	16630805	16648200	Tceb1
chr1	16646632	16653359	D030040B21Rik
chr1	16654271	16669356	Tmem70
chr1	16677536	16700686	Ly96
chr1	16984020	17088970	Jph1
chr1	17134453	17155351	Gdap1
chr1	17590981	17622020	Pi15
chr1	17665107	17718727	Gm16070
chr1	17716497	17757288	Crispld1
chr1	18104271	18128132	Crisp4
chr1	18199133	18214645	Defb44-ps
chr1	18225553	18228524	Defb18
chr1	18240058	18256219	Defb41
chr1	18249604	18256219	Gm15386
chr1	19092102	19157413	Tfap2d
chr1	19197994	19229926	Tfap2b
chr1	20046859	20609138	Pkhd1
chr1	20345534	20383381	4930486I03Rik
chr1	20658962	20674039	Linc-md1
chr1	20668090	20670163	Mir206
chr1	20671849	20673968	Mir133b
chr1	20719985	20725577	Il17a
chr1	20766229	20775351	Il17f
chr1	20792094	20811294	Mcm3
chr1	20877730	20881554	6720483E21Rik
chr1	20879702	20929837	Paqr8
chr1	20940706	20981922	Efhc1
chr1	20990477	21070306	Tram2
chr1	21207655	21221248	Tmem14a
chr1	21229665	21256656	Gsta3
chr1	21274326	21289393	Gm4956
chr1	21338757	21343280	Khdc1a
chr1	21357411	21360824	Khdc1c
chr1	21372636	21377465	Khdc1b
chr1	21387479	21953731	Kcnq5
chr1	22277502	22813563	Rims1
chr1	23106312	23110092	4933415F23Rik
chr1	23278107	23280178	Mir30a
chr1	23297539	23299623	Mir30c-2
chr1	23372262	23391014	Ogfrl1
chr1	23767764	23855697	B3gat2
chr1	23850663	23930220	Smap1
chr1	24001777	24013479	Sdhaf4
chr1	24016596	24108180	Fam135a
chr1	24183448	24260577	Col9a1
chr1	24263521	24595276	Col19a1
chr1	24684382	24824146	Lmbrd1
chr1	25123320	25887552	Adgrb3
chr1	25332248	25335799	Gm20172
chr1	26737645	26745305	4931408C20Rik
chr1	28831966	28838097	Gm597
chr1	29477332	29479457	Mir6342
chr1	30858186	30921101	Phf3
chr1	30996147	31007600	Ptp4a1
chr1	30997436	31007555	Gm13363
chr1	31196922	31280501	4931428L18Rik
chr1	31232279	31262570	Lgsn
chr1	31278683	31282132	Pih1d3
chr1	31320691	31325906	Gm4850
chr1	32228650	32715583	Khdrbs2
chr1	32575407	32578844	Gm9839
chr1	32599390	32605138	Gm5415
chr1	33509652	33727639	Prim2
chr1	33725668	33728557	1700001G17Rik
chr1	33775740	33800409	Rab23
chr1	33801328	33815595	Bag2
chr1	33817385	33872440	Zfp451
chr1	33891743	33896759	Gm15455
chr1	33907896	33965612	Bend6
chr1	33964069	34366507	Dst
chr1	34173203	34175276	Mir6896
chr1	34488965	34491044	Mir5103
chr1	34492514	34497517	Ccdc115
chr1	34495673	34503592	Imp4
chr1	34515590	34531624	Ptpn18
chr1	34554274	34560907	Prss39
chr1	34591492	34602156	Cfc1
chr1	34608176	34618788	Prss40
chr1	34635537	34648789	Amer3
chr1	34689379	34694055	AA619741
chr1	34857566	34870599	Arhgef4
chr1	34869062	34900895	Fam168b
chr1	34905803	34937430	Plekhb2
chr1	36124244	36164291	Hs6st1
chr1	36195872	36302147	Uggt1
chr1	36200096	36202158	Mir6897
chr1	36320446	36331270	Neurl3
chr1	36363577	36381874	Arid5a
chr1	36391574	36427026	Kansl3
chr1	36404526	36406603	Mir6898
chr1	36428135	36479955	Fer1l5
chr1	36479030	36503116	Lman2l
chr1	36527441	36566621	Cnnm4
chr1	36567720	36586082	Cnnm3
chr1	36586037	36594401	Ankrd23
chr1	36594015	36605097	Ankrd39
chr1	36604483	36616226	Sema4c
chr1	36618540	36741028	Fam178b
chr1	36747331	36751233	Cox5b
chr1	36755046	36767770	Actr1b
chr1	36770382	36815805	4933424G06Rik
chr1	36817642	36840665	Zap70
chr1	36848033	36997372	Tmem131
chr1	37274122	37321229	Cnga3
chr1	37355682	37468585	Inpp4a
chr1	37472929	37487948	Coa5
chr1	37486016	37496969	Unc50
chr1	37495184	37598861	Mgat4a
chr1	37541695	37546450	4930594C11Rik
chr1	37667520	37777656	2010300C02Rik
chr1	37810416	37923143	Tsga10
chr1	37928050	37934143	Lipt1
chr1	37934734	37948256	Mitd1
chr1	37946397	37956178	Mrpl30
chr1	37961767	37974338	Lyg2
chr1	38002582	38015604	Lyg1
chr1	38039711	38055053	Txndc9
chr1	38053854	38113424	Eif5b
chr1	38108630	38187507	Rev1
chr1	38231835	38685089	Aff3
chr1	38850353	38879060	Lonrf2
chr1	38919717	38956005	Chst10
chr1	38994993	39008121	Nms
chr1	39043658	39055081	Pdcl3
chr1	39242740	39244837	Mir6349
chr1	39250116	39421085	Npas2
chr1	39423695	39429755	Rpl31
chr1	39427341	39536592	Tbc1d8
chr1	39591646	39604722	Cnot11
chr1	39604591	39606685	Snord89
chr1	39607143	39635192	Rnf149
chr1	39674250	39709027	Creg2
chr1	39721145	39778834	Rfx8
chr1	39859985	39863177	Gm3646
chr1	39898272	39905175	1700066B17Rik
chr1	39956757	40084155	Map4k4
chr1	40132056	40143696	Gm16894
chr1	40140612	40183070	Il1r2
chr1	40280924	40374022	Il1r1
chr1	40380471	40423316	Il1rl2
chr1	40485414	40523259	Il1rl1
chr1	40521396	40558699	Il18r1
chr1	40571206	40609550	Il18rap
chr1	40636071	40688576	Slc9a4
chr1	40737556	40826730	Slc9a2
chr1	40827884	40848502	Mfsd9
chr1	40861445	40913112	Tmem182
chr1	41223404	41239097	4930448I06Rik
chr1	42704044	42752670	Pantr1
chr1	42752990	42758054	Pou3f3
chr1	42756180	42761021	2900092D14Rik
chr1	42762907	42771299	Pantr2
chr1	42806556	42810731	Dalir
chr1	42907077	42963528	Mrps9
chr1	43008716	43093294	Gpr45
chr1	43103113	43156467	Tgfbrap1
chr1	43154554	43173791	AI597479
chr1	43178915	43254606	Fhl2
chr1	43501595	43628363	Nck2
chr1	43786446	43800409	1500015O10Rik
chr1	43806075	43885553	Uxs1
chr1	43989838	44060845	Tpp2
chr1	44065252	44077851	Mettl21c
chr1	44142461	44160233	Tex30
chr1	44162390	44176618	Kdelc1
chr1	44175812	44202616	Bivm
chr1	44203588	44239105	Ercc5
chr1	44259914	44276776	Mettl21e
chr1	44607515	44854681	Gulp1
chr1	44795519	44802794	4930521E06Rik
chr1	45367382	45407551	Col3a1
chr1	45430175	45561127	Col5a2
chr1	45851345	45881458	Wdr75
chr1	45963914	45983439	Slc40a1
chr1	46076259	46088282	Stk-ps2
chr1	46122582	46431395	Dnah7b
chr1	46481362	46865322	Dnah7c
chr1	46863388	46911354	Slc39a10
chr1	47522864	47524969	Mir6350
chr1	50983366	51245114	Tmeff2
chr1	51274229	51391623	9330175M20Rik
chr1	51344969	51360804	Sdpr
chr1	51525331	51536243	Nabp1
chr1	51805601	51973822	Myo1b
chr1	52042991	52165033	Stat4
chr1	52175281	52219709	Stat1
chr1	52219293	52291076	Gls
chr1	52511692	52558292	Nab1
chr1	52686548	52709763	Tmem194b
chr1	52712147	52785162	Mfsd6
chr1	52845263	52875532	Inpp1
chr1	52900881	52978830	Hibch
chr1	52980970	53010684	1700019D03Rik
chr1	53117483	53125923	Mstn
chr1	53214420	53245461	1700019A02Rik
chr1	53245030	53354872	Pms1
chr1	53352938	53368089	Ormdl1
chr1	53369467	53384186	Osgepl1
chr1	53400460	53410596	Asnsd1
chr1	53452845	53764628	Dnah7a
chr1	53811355	53843059	Stk17b
chr1	53862717	54252878	Hecw2
chr1	53905267	53907339	Mir7681
chr1	54306526	54426571	Ccdc150
chr1	54451720	54496870	Gtf3c3
chr1	54528843	54615528	Pgap1
chr1	54701183	54984231	Ankrd44
chr1	55041012	55085322	Sf3b1
chr1	55108613	55130546	Coq10b
chr1	55133677	55145776	Hspd1
chr1	55143991	55149161	Hspe1
chr1	55187088	55212743	Mob4
chr1	55226003	55284626	Rftn2
chr1	55293020	55297902	Mars2
chr1	55355912	55421313	Boll
chr1	55461789	55812129	Plcl1
chr1	55987084	56029942	9130227L01Rik
chr1	56074821	56078047	1700003I22Rik
chr1	56691892	56695295	Hsfy2
chr1	56849824	57029178	Satb2
chr1	57027312	57033040	9130024F11Rik
chr1	57256488	57272840	BC055402
chr1	57415065	57435388	4930558J18Rik
chr1	57433463	57443266	1700066M21Rik
chr1	57444087	57464518	Tyw5
chr1	57462391	57473802	9430016H08Rik
chr1	57830704	58006241	Spats2l
chr1	58010944	58027928	Kctd18
chr1	58041183	58084121	Sgol2a
chr1	58085812	58164254	Aox1
chr1	58168979	58258296	Aox3
chr1	58266240	58326440	Aox4
chr1	58334169	58437108	Aox2
chr1	58448979	58464392	Bzw1
chr1	58467831	58481932	Clk1
chr1	58486836	58503330	Ppil3
chr1	58503476	58520120	Nif3l1
chr1	58518614	58562953	Orc2
chr1	58578649	58644177	Fam126b
chr1	58642240	58653808	Ndufb3
chr1	58708484	58713675	Gm20257
chr1	58713964	58753833	Als2cr12
chr1	58767334	58817053	Cflar
chr1	58851217	58905347	Casp8
chr1	58956293	59031326	Trak2
chr1	59029414	59052965	Stradb
chr1	59106349	59152744	Als2cr11
chr1	59156436	59177940	Tmem237
chr1	59176778	59221233	Mpp4
chr1	59218599	59295075	Als2
chr1	59312750	59410213	Cdk15
chr1	59537990	59544799	Fzd7
chr1	59572107	59692353	Gm973
chr1	59695277	59728678	Sumo1
chr1	59740849	59769354	Nop58
chr1	59747801	59749854	Snord70
chr1	59760651	59762714	Snord11
chr1	59820122	59935925	Bmpr2
chr1	59968849	60043192	Fam117b
chr1	60044911	60100966	Ica1l
chr1	60132711	60156344	Wdr12
chr1	60154090	60211797	Carf
chr1	60236442	60392549	Nbeal1
chr1	60399143	60445904	Cyp20a1
chr1	60465462	60539007	Abi2
chr1	60539028	60624609	Raph1
chr1	60802231	60831203	Cd28
chr1	60964868	60973676	Ctla4
chr1	61033757	61058164	Icos
chr1	61434275	61453748	9530026F06Rik
chr1	61684397	62689858	Pard3b
chr1	62748890	62866266	Nrp2
chr1	62836491	62842306	4930487H11Rik
chr1	63093374	63161841	Ino80d
chr1	63160044	63205869	Ino80dos
chr1	63189165	63224396	Ndufs1
chr1	63222404	63228060	Eef1b2
chr1	63224596	63226709	Snora41
chr1	63228144	63261855	Gpr1
chr1	63245931	63362149	Zdbf2
chr1	63491464	63643675	Adam23
chr1	63668424	63734501	Dytn
chr1	63744400	63777892	Mdh1b
chr1	63776198	63800959	Fastkd2
chr1	63800482	63816841	4933402D24Rik
chr1	64010300	64016573	Gm13749
chr1	64081246	64168963	Klf7
chr1	64088011	64090075	Mir6899
chr1	64578377	64652122	Creb1
chr1	64652053	64664742	Mettl21a
chr1	64725442	64738233	2810408I11Rik
chr1	64736918	64773216	Ccnyl1
chr1	64776131	64785324	Fzd5
chr1	64834694	65004398	Plekhm3
chr1	65058651	65080333	Akr1cl
chr1	65094130	65098737	Cryge
chr1	65107411	65111014	Crygd
chr1	65117098	65121106	Crygc
chr1	65125795	65129864	Crygb
chr1	65145962	65150937	Cryga
chr1	65150858	65170788	D630023F18Rik
chr1	65204189	65234053	Idh1
chr1	65232258	65326270	Pikfyve
chr1	65356830	65436818	Pth2r
chr1	65972095	65975878	Crygf
chr1	66220902	66490157	Map2
chr1	66514020	66746722	Unc80
chr1	66746404	66767379	Rpe
chr1	66764816	66865169	Kansl1l
