name2	chrom	r.means_2	r.sd_2
Pcmtd1	chr1	0.863131110218294	0.215302888263917
Nabp1	chr1	0.761840989241552	0.598633989554038
Gls	chr1	0.945984554260971	0.181554394893085
Hibch	chr1	0.773492254810053	0.527074684165885
A730008H23Rik	chr1	NA	NA
Hjurp	chr1	0.917637605464042	0.301593678853623
Hdac4	chr1	0.636087674657381	0.322619525914022
Gm20753	chr1	NA	NA
Phlpp1	chr1	0.648631757510825	0.521851703048971
Ptpn4	chr1	0.656176063568591	0.656309986161332
Zranb3	chr1	0.652694076157314	0.376367126467568
R3hdm1	chr1	0.848801392794964	0.229141556180528
Srgap2	chr1	0.710593277085844	0.288960314271684
Fam72a	chr1	0.511450381679389	0.414044015892148
Tpr	chr1	0.977858131333423	0.0156243024864961
BC003331	chr1	0.841971340565153	0.291103075755547
Edem3	chr1	0.73804740859783	0.23097183161466
Mrps14	chr1	0.958216151064685	0.0393286014017231
Fh1	chr1	0.958305432793179	0.169144234632382
Sdccag8	chr1	0.729922771304853	0.352350341502611
Adss	chr1	0.933842239185751	0.150528994241329
Nmt2	chr2	0.863711441453507	0.12124458729521
Hspa14	chr2	0.930360251774474	0.194946654167225
Cdnf	chr2	0.49555823400741	0.350921833846703
Orc4	chr2	0.905763135574305	0.227891611981608
Mbd5	chr2	0.700906209544217	0.465470291504844
Tmx2	chr2	0.942011517342976	0.208517476898353
Med19	chr2	0.834739520557118	0.148520155350208
Hsd17b12	chr2	0.94910941475827	0.205928306772019
Lgr4	chr2	0.654077942948975	0.707155930538815
Dut	chr2	0.913575286817553	0.408240703540021
Slx4ip	chr2	0.586268470157582	0.218472389625463
Mkks	chr2	0.843756975135039	0.255345743493594
Ralgapa2	chr2	0.691710191509308	0.258783090040623
Ccna2	chr3	0.795723405205125	0.828936208204991
Rap2b	chr3	0.704656042140976	0.516762644524798
Pdcd10	chr3	0.94178831302174	0.14847551448596
Serpini1	chr3	0.534172581581179	0.751796794785947
Etfdh	chr3	0.911298602740949	0.132851211999464
4930579G24Rik	chr3	0.605330119191108	0.37975983215035
Trim45	chr3	0.536359983929289	0.343823936431409
Lrif1	chr3	0.753805633677068	0.395607338958082
Papss1	chr3	0.796794785947056	0.684880139279496
Bcl10	chr3	0.834962724878354	0.368510334360073
Asph	chr4	0.844962278469711	0.533726172938708
Zbtb5	chr4	0.633319941074059	0.325030132583367
Erp44	chr4	0.912236060890139	0.166599705370296
Invs	chr4	0.681665997053703	0.154055622516852
Leprot	chr4	0.898665238159011	0.336993884201598
Stil	chr4	0.538725949734387	0.735056470693273
Cap1	chr4	0.969599571447703	0.290924512298558
Qdpr	chr5	0.936476050176331	0.427436275166287
1600023N17Rik	chr5	NA	NA
Ncapg	chr5	0.666979152716397	0.862863265032811
Lcorl	chr5	0.609972769072809	0.344002499888398
Anapc4	chr5	0.932235168072854	0.17182268648721
Fryl	chr5	0.798669702245435	0.303066827373778
Uba6	chr5	0.690281683853399	0.389982590062944
Dck	chr5	0.754921655283246	0.473103879291103
B630005N14Rik	chr6	0.69572786929155	0.259229498683095
Wasl	chr6	0.836212669077273	0.157001919557163
Snd1	chr6	0.953394937725994	0.107763046292576
Pdia4	chr6	0.94335074327039	0.414445783670372
Eif2ak3	chr6	0.710280791036114	0.272041426722021
Rmnd5a	chr6	0.892192312843177	0.205571179858042
Itpr1	chr6	0.703763224856033	0.547921967769296
M6pr	chr6	0.96669791527164	0.118789339761618
Wbp11	chr6	0.945716709075488	0.0681219588411232
BC049715	chr6	0.406812195884112	0.684299808044284
Suv420h2	chr7	0.815856434980581	0.530288826391679
Zfp78	chr7	0.457256372483371	0.281326726485425
Tomm40	chr7	0.936699254497567	0.224364983706085
Herc2	chr7	0.747734476139458	0.219499129503147
Akap13	chr7	0.834337752778894	0.403017722423106
Pcf11	chr7	0.808044283737333	0.172670862907906
4632427E13Rik	chr7	0.552028927280032	0.523503415026115
Rab30	chr7	0.545288156778715	0.737690281683853
Uvrag	chr7	0.74724342663274	0.402615954644882
Ppme1	chr7	0.875184143565019	0.367260390161154
C2cd3	chr7	0.735235034150261	0.414847551448596
Fam160a2	chr7	0.73992232489621	0.324494442212401
Evi5l	chr8	0.683362349895094	0.637917950091514
6820431F20Rik	chr8	0.864068568367484	0.153966340788358
Trappc11	chr8	0.814829695102897	0.171554841301728
Rwdd4a	chr8	0.833177090308468	0.2443640908888
Hmgb2	chr8	0.907504129279943	0.553234230614705
Clcn3	chr8	0.872505691710192	0.129547788045177
Msmo1	chr8	0.932636935851078	0.189366546136333
Zfp868	chr8	0.745457792062854	0.229989732601223
Slc25a42	chr8	0.680505334583278	0.398196509084416
Rab8a	chr8	0.9462970403107	0.111423597160841
Asf1b	chr8	0.6980491942324	0.797553680639257
Aktip	chr8	0.865764921208875	0.368599616088567
Aasdhppt	chr9	0.77416186777376	0.147047006830052
Kbtbd3	chr9	0.514664523905183	0.274362751662872
Birc2	chr9	0.781929378152761	0.332128029998661
Cep57	chr9	0.882148118387572	0.126422927547877
Fam76b	chr9	0.766438998259006	0.295120753537788
Zfp317	chr9	0.647203249854917	0.643140931208428
Stt3a	chr9	0.950180795500201	0.194991295031472
Tmem218	chr9	0.648363912325343	0.548502299004509
Shprh	chr10	0.737467077362618	0.142761483862328
Hint3	chr10	0.760858890228115	0.561135663586447
Rwdd1	chr10	0.951430739699121	0.168519262532923
Sertad2	chr11	0.739341993660997	0.291504843533771
Mdh1	chr11	0.983795366278291	0.11736083210571
Wdpcp	chr11	0.545511361099951	0.346859515200214
G3bp1	chr11	0.939466988080889	0.0603544484621222
Hbp1	chr12	0.935270746841659	0.116601937413508
Zfp277	chr12	0.88063032900317	0.0932547654122584
Dock4	chr12	0.552519976786751	0.621356189455828
Pnpla8	chr12	0.881612428016606	0.260122315968037
Klhl28	chr12	0.589839739297353	0.419758046515781
Fam179b	chr12	0.691888754966296	0.195839471452167
3110056K07Rik	chr12	0.591937859916968	0.482165974733271
