name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Tcea1	chr1	193	193	193
Pcmtd1	chr1	193	193	193
Rrs1	chr1	190	193	193
1700034P13Rik	chr1	44	193	193
Vcpip1	chr1	193	193	193
Tceb1	chr1	193	193	193
D030040B21Rik	chr1	39	193	193
Mcm3	chr1	173	193	193
Gm13363	chr1	183	193	193
Ptp4a1	chr1	190	193	193
Slc39a10	chr1	191	193	193
Nabp1	chr1	193	193	193
Gls	chr1	193	193	193
Hibch	chr1	193	193	193
Pms1	chr1	193	193	193
Ormdl1	chr1	193	193	193
Ccdc150	chr1	191	193	193
Pnkd	chr1	191	193	193
Dnpep	chr1	192	193	193
Cul3	chr1	154	193	193
A730008H23Rik	chr1	193	193	193
Hjurp	chr1	193	193	193
Hdac4	chr1	186	193	193
Ppip5k2	chr1	193	193	193
Gin1	chr1	191	193	193
Pign	chr1	191	193	193
2310035C23Rik	chr1	191	193	193
Gm20753	chr1	193	193	193
Phlpp1	chr1	142	193	193
Kdsr	chr1	193	193	193
Ptpn4	chr1	113	193	193
Slc35f5	chr1	177	193	193
Zranb3	chr1	193	193	193
R3hdm1	chr1	183	193	193
Srgap2	chr1	181	193	193
Fam72a	chr1	157	193	193
Trove2	chr1	189	193	193
Uchl5	chr1	192	193	193
Tpr	chr1	187	193	193
BC003331	chr1	193	193	193
Swt1	chr1	191	193	193
Trmt1l	chr1	192	193	193
Edem3	chr1	191	193	193
Mrps14	chr1	188	193	193
Cacybp	chr1	192	193	193
Suco	chr1	186	193	193
Dcaf6	chr1	179	193	193
Mpc2	chr1	191	193	193
Fh1	chr1	193	193	193
Opn3	chr1	186	193	193
Sdccag8	chr1	192	193	193
Adss	chr1	188	193	193
Cenpf	chr1	180	193	193
Nmt2	chr2	185	193	193
Rpp38	chr2	191	193	193
Hspa14	chr2	193	193	193
Cdnf	chr2	192	193	193
Nsun6	chr2	188	193	193
Gm13375	chr2	126	193	193
Scai	chr2	193	193	193
Orc4	chr2	192	193	193
Mbd5	chr2	187	193	193
Prpf40a	chr2	187	193	193
Arl6ip6	chr2	177	193	193
Ttc21b	chr2	189	193	193
Tmx2	chr2	192	193	193
Med19	chr2	192	193	193
Zdhhc5	chr2	186	193	193
Fnbp4	chr2	193	193	193
Hsd17b12	chr2	189	193	193
Kif18a	chr2	193	193	193
Lgr4	chr2	192	193	193
Dut	chr2	192	193	193
Tmx4	chr2	193	193	193
Slx4ip	chr2	188	193	193
Mkks	chr2	193	193	193
Tasp1	chr2	193	193	193
Ralgapa2	chr2	184	193	193
Chd6	chr2	192	193	193
Osbpl2	chr2	178	193	193
1810022K09Rik	chr3	186	193	193
Armc1	chr3	192	193	193
Mtfr1	chr3	192	193	193
Hps3	chr3	184	193	193
Hltf	chr3	193	193	193
1700125G22Rik	chr3	191	193	193
Actl6a	chr3	192	193	193
Ttc14	chr3	186	193	193
Ccna2	chr3	186	193	193
Pgrmc2	chr3	183	193	193
Sclt1	chr3	192	193	193
D3Ertd751e	chr3	192	193	193
Rnf13	chr3	193	193	193
Rap2b	chr3	181	193	193
Slc33a1	chr3	192	193	193
Pdcd10	chr3	191	193	193
Serpini1	chr3	191	193	193
Golim4	chr3	193	193	193
Etfdh	chr3	193	193	193
4930579G24Rik	chr3	191	193	193
Zfp687	chr3	19	193	193
Ensa	chr3	192	193	193
Trim45	chr3	178	193	193
Lrif1	chr3	192	193	193
Rbm15	chr3	193	193	193
Alg14	chr3	192	193	193
Snora24	chr3	70	193	193
Snhg8	chr3	190	193	193
Papss1	chr3	193	193	193
4930539J05Rik	chr3	176	193	193
Ube2d3	chr3	171	193	193
Pkn2	chr3	179	193	193
Hs2st1	chr3	187	193	193
Sep15	chr3	193	193	193
Bcl10	chr3	193	193	193
Plag1	chr4	91	193	193
Chchd7	chr4	191	193	193
Asph	chr4	192	193	193
Pdp1	chr4	187	193	193
1700123M08Rik	chr4	192	193	193
Ripk2	chr4	186	193	193
A530072M11Rik	chr4	183	193	193
Wwp1	chr4	174	193	193
Ufl1	chr4	193	193	193
Aco1	chr4	191	193	193
Zbtb5	chr4	189	193	193
Erp44	chr4	191	193	193
Invs	chr4	193	193	193
Mrpl50	chr4	192	193	193
Zfp189	chr4	192	193	193
Rnf20	chr4	191	193	193
Rad23b	chr4	184	193	193
Fkbp15	chr4	191	193	193
Slc31a1	chr4	191	193	193
Megf9	chr4	189	193	193
Tle1	chr4	187	193	193
C630043F03Rik	chr4	178	193	193
Focad	chr4	190	193	193
Leprot	chr4	180	193	193
Nrd1	chr4	169	193	193
Stil	chr4	193	193	193
Cap1	chr4	193	193	193
Phtf2	chr5	189	193	193
Tmem60	chr5	188	193	193
Ccdc146	chr5	182	193	193
Fam185a	chr5	193	193	193
Mxd4	chr5	181	193	193
Rab28	chr5	186	193	193
Qdpr	chr5	192	193	193
1600023N17Rik	chr5	193	193	193
Ncapg	chr5	188	193	193
Lcorl	chr5	190	193	193
Pacrgl	chr5	193	193	193
Anapc4	chr5	188	193	193
Fryl	chr5	188	193	193
Dcun1d4	chr5	186	193	193
Uba6	chr5	192	193	193
Ythdc1	chr5	169	193	193
Dck	chr5	193	193	193
Gm20605	chr5	172	193	193
Lrch4	chr5	172	193	193
1700028E10Rik	chr5	193	193	193
Rpa3	chr6	190	193	193
Umad1	chr6	193	193	193
B630005N14Rik	chr6	193	193	193
Wasl	chr6	192	193	193
Snd1	chr6	192	193	193
Creb3l2	chr6	177	193	193
Casp2	chr6	191	193	193
Pdia4	chr6	193	193	193
Ggct	chr6	190	193	193
Avl9	chr6	192	193	193
Tigd2	chr6	192	193	193
Eif2ak3	chr6	193	193	193
Rmnd5a	chr6	190	193	193
Paip2b	chr6	190	193	193
Abtb1	chr6	175	193	193
Gm15612	chr6	14	193	193
Setmar	chr6	190	193	193
Itpr1	chr6	193	193	193
Ogg1	chr6	187	193	193
Mbd4	chr6	191	193	193
Ift122	chr6	193	193	193
M6pr	chr6	183	193	193
Smim10l1	chr6	184	193	193
Wbp11	chr6	192	193	193
BC049715	chr6	1	193	193
4732416N19Rik	chr6	181	193	193
Ergic2	chr6	161	193	193
Suv420h2	chr7	179	193	193
Zfp78	chr7	166	193	193
Zfp446	chr7	186	193	193
Lig1	chr7	186	193	193
6330408A02Rik	chr7	189	193	193
Tomm40	chr7	176	193	193
Zfp788	chr7	192	193	193
Prmt1	chr7	160	193	193
Gm15545	chr7	173	193	193
Herc2	chr7	193	193	193
Mphosph10	chr7	174	193	193
Mcee	chr7	192	193	193
Akap13	chr7	193	193	193
Abhd2	chr7	174	193	193
Mesdc2	chr7	192	193	193
Pcf11	chr7	170	193	193
4632427E13Rik	chr7	192	193	193
Rab30	chr7	183	193	193
Ddias	chr7	164	193	193
Prcp	chr7	191	193	193
Uvrag	chr7	185	193	193
Ppme1	chr7	187	193	193
C2cd3	chr7	190	193	193
Fam160a2	chr7	190	193	193
Mrpl17	chr7	192	193	193
Zfp143	chr7	191	193	193
Far1	chr7	191	193	193
9430038I01Rik	chr7	190	193	193
Evi5l	chr8	163	193	193
Ing1	chr8	189	193	193
6820431F20Rik	chr8	189	193	193
2610005L07Rik	chr8	192	193	193
Tusc3	chr8	189	193	193
1700029J07Rik	chr8	190	193	193
Ufsp2	chr8	180	193	193
Ankrd37	chr8	188	193	193
Trappc11	chr8	190	193	193
Rwdd4a	chr8	191	193	193
Hmgb2	chr8	193	193	193
Clcn3	chr8	193	193	193
Msmo1	chr8	192	193	193
Zfp868	chr8	193	193	193
Zfp869	chr8	192	193	193
Zfp963	chr8	191	193	193
Gatad2a	chr8	191	193	193
Slc25a42	chr8	171	193	193
