chrom	merged_promoter.start	merged_promoter.end	name2	freq_name	freq_TSS
chr1	3660579	3662579	Xkr4	1	1
chr1	4349395	4351395	Rp1	2	2
chr1	4398322	4400322	Rp1	2	2
chr1	4486435	4488435	Sox17	5	1
chr1	4774807	4776807	Mrpl15	3	1
chr1	4796973	4798973	Lypla1	1	1
chr1	4846774	4849408	Tcea1	3	2
chr1	5007815	5010620	Rgs20	3	3
chr1	5059366	5061366	Rgs20	3	3
chr1	5072166	5074166	Atp6v1h	2	1
chr1	5577573	5579573	Oprk1	2	1
chr1	5906479	5908479	Npbwr1	1	1
chr1	6203742	6205742	Rb1cc1	1	1
chr1	6348411	6350411	Fam150a	1	1
chr1	6476311	6478311	St18	5	2
chr1	6719131	6721131	St18	5	2
chr1	7078000	7080000	Pcmtd1	1	1
chr1	9288958	9290958	Sntg1	4	1
chr1	9534488	9536488	Rrs1	1	1
chr1	9537126	9539126	Adhfe1	2	1
chr1	9590347	9592347	3110035E14Rik	1	1
chr1	9620173	9622173	2610203C22Rik	1	1
chr1	9689290	9691290	Mybl1	2	1
chr1	9736728	9738728	1700034P13Rik	1	1
chr1	9737463	9739463	Vcpip1	1	1
chr1	9787210	9789210	Sgk3	3	2
chr1	9837361	9839361	Sgk3	3	2
chr1	9897718	9899718	Mcmdc2	1	1
chr1	9931624	9933624	Snord87	1	1
chr1	9933199	9935199	Snhg6	1	1
chr1	9956566	9958566	Tcf24	1	1
chr1	9998217	10000217	Ppp1r42	2	1
chr1	10027240	10029240	Cops5	3	1
chr1	10027298	10029298	Cspp1	1	1
chr1	10221751	10223751	Arfgef1	1	1
chr1	10709026	10711026	Cpa6	2	1
chr1	10982545	10984545	Prex2	2	2
chr1	11253043	11255043	Prex2	2	2
chr1	11403185	11405185	A830018L16Rik	5	1
chr1	12415066	12417066	Mir6341	1	1
chr1	12656643	12658643	Gm17644	1	1
chr1	12681510	12683510	Sulf1	3	2
chr1	12707625	12709625	Sulf1	3	2
chr1	12980216	12982216	Slco5a1	1	1
chr1	13116244	13118244	Prdm14	1	1
chr1	13361510	13365164	Ncoa2	2	2
chr1	13578991	13580991	Tram1	1	1
chr1	13649590	13651590	Lactb2	1	1
chr1	13657851	13659851	Xkr9	1	1
chr1	13776010	13778010	Gm5523	1	1
chr1	14299280	14301280	Eya1	3	1
chr1	14745047	14747047	Msc	1	1
chr1	14907943	14909943	Trpa1	1	1
chr1	15301532	15303532	Kcnb2	1	1
chr1	15794726	15796726	Terf1	2	1
chr1	15881803	15883803	Sbspon	1	1
chr1	16082406	16084406	4930444P10Rik	2	1
chr1	16093514	16095514	Rpl7	1	1
chr1	16094962	16096962	Rdh10	1	1
chr1	16508383	16510383	Stau2	2	1
chr1	16608419	16610419	Ube2w	4	1
chr1	16645946	16648200	Tceb1	2	2
chr1	16646632	16648632	D030040B21Rik	1	1
chr1	16654271	16656271	Tmem70	2	1
chr1	16677536	16679536	Ly96	2	1
chr1	17086970	17088970	Jph1	1	1
chr1	17134453	17136453	Gdap1	1	1
chr1	17590981	17592981	Pi15	1	1
chr1	17716497	17718497	Crispld1	1	1
chr1	17716727	17718727	Gm16070	1	1
chr1	18126132	18128132	Crisp4	1	1
chr1	18212645	18214645	Defb44-ps	1	1
chr1	18226524	18228524	Defb18	1	1
chr1	18254219	18256219	Defb41	1	1
chr1	18254219	18256219	Gm15386	1	1
chr1	19092102	19094102	Tfap2d	1	1
chr1	19197994	19199994	Tfap2b	3	2
chr1	19201134	19203134	Tfap2b	3	2
chr1	20345534	20347534	4930486I03Rik	1	1
chr1	20607138	20609138	Pkhd1	1	1
chr1	20658962	20660962	Linc-md1	1	1
chr1	20668090	20670090	Mir206	1	1
chr1	20671849	20673849	Mir133b	1	1
chr1	20719985	20721985	Il17a	1	1
chr1	20773351	20775351	Il17f	1	1
chr1	20809294	20811294	Mcm3	1	1
chr1	20879554	20881554	6720483E21Rik	1	1
chr1	20879702	20881702	Paqr8	1	1
chr1	20940706	20942706	Efhc1	1	1
chr1	21068306	21070306	Tram2	1	1
chr1	21207655	21209655	Tmem14a	2	1
chr1	21229665	21231665	Gsta3	3	1
chr1	21287393	21289393	Gm4956	1	1
chr1	21338757	21340757	Khdc1a	1	1
chr1	21357411	21359411	Khdc1c	1	1
chr1	21372636	21374636	Khdc1b	1	1
chr1	21951023	21953731	Kcnq5	3	2
chr1	22811563	22813563	Rims1	5	1
chr1	23108092	23110092	4933415F23Rik	1	1
chr1	23278107	23280107	Mir30a	1	1
chr1	23297539	23299539	Mir30c-2	1	1
chr1	23389014	23391014	Ogfrl1	1	1
chr1	23767764	23769764	B3gat2	1	1
chr1	23915575	23917575	Smap1	3	2
chr1	23928220	23930220	Smap1	3	2
chr1	24011479	24013479	Sdhaf4	1	1
chr1	24106180	24108180	Fam135a	1	1
chr1	24183448	24185448	Col9a1	2	2
chr1	24201041	24203041	Col9a1	2	2
chr1	24593276	24595276	Col19a1	1	1
chr1	24684382	24686756	Lmbrd1	2	2
chr1	25333799	25335799	Gm20172	1	1
chr1	25885552	25887552	Adgrb3	1	1
chr1	26743305	26745305	4931408C20Rik	1	1
chr1	28836097	28838097	Gm597	1	1
chr1	29477332	29479332	Mir6342	1	1
chr1	30919101	30921101	Phf3	1	1
chr1	31005555	31007555	Gm13363	1	1
chr1	31005600	31007600	Ptp4a1	1	1
chr1	31232279	31234279	Lgsn	1	1
chr1	31278501	31280501	4931428L18Rik	1	1
chr1	31278683	31280683	Pih1d3	1	1
chr1	31320691	31322691	Gm4850	1	1
chr1	32228650	32230650	Khdrbs2	1	1
chr1	32576844	32578844	Gm9839	1	1
chr1	32603138	32605138	Gm5415	1	1
chr1	33725639	33727639	Prim2	1	1
chr1	33725668	33727668	1700001G17Rik	1	1
chr1	33775740	33778263	Rab23	2	2
chr1	33813595	33815595	Bag2	1	1
chr1	33870440	33872440	Zfp451	3	1
chr1	33894759	33896759	Gm15455	1	1
chr1	33963466	33965612	Bend6	2	2
chr1	33964069	33966069	Dst	4	3
chr1	34067669	34069669	Dst	4	3
chr1	34216174	34218174	Dst	4	3
chr1	34173203	34175203	Mir6896	1	1
chr1	34489044	34491044	Mir5103	1	1
chr1	34495517	34497517	Ccdc115	1	1
chr1	34495673	34497673	Imp4	1	1
chr1	34515590	34517590	Ptpn18	1	1
chr1	34554274	34556274	Prss39	1	1
chr1	34591492	34593492	Cfc1	1	1
chr1	34616788	34618788	Prss40	1	1
chr1	34635537	34637537	Amer3	1	1
chr1	34692055	34694055	AA619741	1	1
chr1	34857566	34859566	Arhgef4	1	1
chr1	34898895	34900895	Fam168b	3	1
chr1	34905803	34907803	Plekhb2	2	1
chr1	36124244	36126244	Hs6st1	1	1
chr1	36200158	36202158	Mir6897	1	1
chr1	36300147	36302147	Uggt1	1	1
chr1	36329270	36331270	Neurl3	1	1
chr1	36363577	36365577	Arid5a	6	1
chr1	36404603	36406603	Mir6898	1	1
chr1	36425026	36427026	Kansl3	2	1
chr1	36428135	36430135	Fer1l5	1	1
chr1	36501116	36503116	Lman2l	2	1
chr1	36527441	36529441	Cnnm4	1	1
chr1	36567720	36569720	Cnnm3	2	1
chr1	36591584	36594401	Ankrd23	2	2
chr1	36603097	36605097	Ankrd39	3	1
chr1	36613402	36616226	Sema4c	3	2
chr1	36649177	36651177	Fam178b	3	2
chr1	36739028	36741028	Fam178b	3	2
chr1	36747331	36749331	Cox5b	1	1
chr1	36765770	36767770	Actr1b	1	1
chr1	36770382	36772382	4933424G06Rik	1	1
chr1	36817642	36819642	Zap70	4	4
chr1	36820359	36822359	Zap70	4	4
chr1	36822778	36824778	Zap70	4	4
chr1	36834828	36836828	Zap70	4	4
chr1	36995372	36997372	Tmem131	1	1
chr1	37274122	37277049	Cnga3	2	2
chr1	37355682	37357682	Inpp4a	5	2
chr1	37425061	37427061	Inpp4a	5	2
chr1	37485948	37487948	Coa5	1	1
chr1	37486016	37488016	Unc50	1	1
chr1	37544450	37546450	4930594C11Rik	1	1
chr1	37592249	37594249	Mgat4a	2	2
chr1	37596861	37598861	Mgat4a	2	2
chr1	37775656	37777656	2010300C02Rik	1	1
chr1	37911218	37913218	Tsga10	4	3
chr1	37920927	37923143	Tsga10	4	3
chr1	37928050	37930050	Lipt1	1	1
chr1	37946256	37948256	Mitd1	1	1
chr1	37946397	37948397	Mrpl30	1	1
chr1	37972338	37974338	Lyg2	1	1
chr1	38013604	38015604	Lyg1	1	1
chr1	38053053	38055053	Txndc9	1	1
chr1	38053854	38055854	Eif5b	1	1
chr1	38185507	38187507	Rev1	1	1
