chrom	tss.start	tss.end	name2
chr1	3661578	3661580	Xkr4
chr1	4350394	4350396	Rp1
chr1	4399321	4399323	Rp1
chr1	4487434	4487436	Sox17
chr1	4775806	4775808	Mrpl15
chr1	4797972	4797974	Lypla1
chr1	4847773	4847775	Tcea1
chr1	4848407	4848409	Tcea1
chr1	5008814	5008816	Rgs20
chr1	5009619	5009621	Rgs20
chr1	5060365	5060367	Rgs20
chr1	5073165	5073167	Atp6v1h
chr1	5578572	5578574	Oprk1
chr1	5907478	5907480	Npbwr1
chr1	6204741	6204743	Rb1cc1
chr1	6349410	6349412	Fam150a
chr1	6477310	6477312	St18
chr1	6720130	6720132	St18
chr1	7078999	7079001	Pcmtd1
chr1	9289957	9289959	Sntg1
chr1	9535487	9535489	Rrs1
chr1	9538125	9538127	Adhfe1
chr1	9591346	9591348	3110035E14Rik
chr1	9621172	9621174	2610203C22Rik
chr1	9690289	9690291	Mybl1
chr1	9737727	9737729	1700034P13Rik
chr1	9738462	9738464	Vcpip1
chr1	9788209	9788211	Sgk3
chr1	9838360	9838362	Sgk3
chr1	9898717	9898719	Mcmdc2
chr1	9932623	9932625	Snord87
chr1	9934198	9934200	Snhg6
chr1	9957565	9957567	Tcf24
chr1	9999216	9999218	Ppp1r42
chr1	10028239	10028241	Cops5
chr1	10028297	10028299	Cspp1
chr1	10222750	10222752	Arfgef1
chr1	10710025	10710027	Cpa6
chr1	10983544	10983546	Prex2
chr1	11254042	11254044	Prex2
chr1	11404184	11404186	A830018L16Rik
chr1	12416065	12416067	Mir6341
chr1	12657642	12657644	Gm17644
chr1	12682509	12682511	Sulf1
chr1	12708624	12708626	Sulf1
chr1	12981215	12981217	Slco5a1
chr1	13117243	13117245	Prdm14
chr1	13362509	13362511	Ncoa2
chr1	13364163	13364165	Ncoa2
chr1	13579990	13579992	Tram1
chr1	13650589	13650591	Lactb2
chr1	13658850	13658852	Xkr9
chr1	13777009	13777011	Gm5523
chr1	14300279	14300281	Eya1
chr1	14746046	14746048	Msc
chr1	14908942	14908944	Trpa1
chr1	15302531	15302533	Kcnb2
chr1	15795725	15795727	Terf1
chr1	15882802	15882804	Sbspon
chr1	16083405	16083407	4930444P10Rik
chr1	16094513	16094515	Rpl7
chr1	16095961	16095963	Rdh10
chr1	16509382	16509384	Stau2
chr1	16609418	16609420	Ube2w
chr1	16646945	16646947	Tceb1
chr1	16647199	16647201	Tceb1
chr1	16647631	16647633	D030040B21Rik
chr1	16655270	16655272	Tmem70
chr1	16678535	16678537	Ly96
chr1	17087969	17087971	Jph1
chr1	17135452	17135454	Gdap1
chr1	17591980	17591982	Pi15
chr1	17717496	17717498	Crispld1
chr1	17717726	17717728	Gm16070
chr1	18127131	18127133	Crisp4
chr1	18213644	18213646	Defb44-ps
chr1	18227523	18227525	Defb18
chr1	18255218	18255220	Defb41
chr1	18255218	18255220	Gm15386
chr1	19093101	19093103	Tfap2d
chr1	19198993	19198995	Tfap2b
chr1	19202133	19202135	Tfap2b
chr1	20346533	20346535	4930486I03Rik
chr1	20608137	20608139	Pkhd1
chr1	20659961	20659963	Linc-md1
chr1	20669089	20669091	Mir206
chr1	20672848	20672850	Mir133b
chr1	20720984	20720986	Il17a
chr1	20774350	20774352	Il17f
chr1	20810293	20810295	Mcm3
chr1	20880553	20880555	6720483E21Rik
chr1	20880701	20880703	Paqr8
chr1	20941705	20941707	Efhc1
chr1	21069305	21069307	Tram2
chr1	21208654	21208656	Tmem14a
chr1	21230664	21230666	Gsta3
chr1	21288392	21288394	Gm4956
chr1	21339756	21339758	Khdc1a
chr1	21358410	21358412	Khdc1c
chr1	21373635	21373637	Khdc1b
chr1	21952022	21952024	Kcnq5
chr1	21952730	21952732	Kcnq5
chr1	22812562	22812564	Rims1
chr1	23109091	23109093	4933415F23Rik
chr1	23279106	23279108	Mir30a
chr1	23298538	23298540	Mir30c-2
chr1	23390013	23390015	Ogfrl1
chr1	23768763	23768765	B3gat2
chr1	23916574	23916576	Smap1
chr1	23929219	23929221	Smap1
chr1	24012478	24012480	Sdhaf4
chr1	24107179	24107181	Fam135a
chr1	24184447	24184449	Col9a1
chr1	24202040	24202042	Col9a1
chr1	24594275	24594277	Col19a1
chr1	24685381	24685383	Lmbrd1
chr1	24685755	24685757	Lmbrd1
chr1	25334798	25334800	Gm20172
chr1	25886551	25886553	Adgrb3
chr1	26744304	26744306	4931408C20Rik
chr1	28837096	28837098	Gm597
chr1	29478331	29478333	Mir6342
chr1	30920100	30920102	Phf3
chr1	31006554	31006556	Gm13363
chr1	31006599	31006601	Ptp4a1
chr1	31233278	31233280	Lgsn
chr1	31279500	31279502	4931428L18Rik
chr1	31279682	31279684	Pih1d3
chr1	31321690	31321692	Gm4850
chr1	32229649	32229651	Khdrbs2
chr1	32577843	32577845	Gm9839
chr1	32604137	32604139	Gm5415
chr1	33726638	33726640	Prim2
chr1	33726667	33726669	1700001G17Rik
chr1	33776739	33776741	Rab23
chr1	33777262	33777264	Rab23
chr1	33814594	33814596	Bag2
chr1	33871439	33871441	Zfp451
chr1	33895758	33895760	Gm15455
chr1	33964465	33964467	Bend6
chr1	33964611	33964613	Bend6
chr1	33965068	33965070	Dst
chr1	34068668	34068670	Dst
chr1	34174202	34174204	Mir6896
chr1	34217173	34217175	Dst
chr1	34490043	34490045	Mir5103
chr1	34496516	34496518	Ccdc115
chr1	34496672	34496674	Imp4
chr1	34516589	34516591	Ptpn18
chr1	34555273	34555275	Prss39
chr1	34592491	34592493	Cfc1
chr1	34617787	34617789	Prss40
chr1	34636536	34636538	Amer3
chr1	34693054	34693056	AA619741
chr1	34858565	34858567	Arhgef4
chr1	34899894	34899896	Fam168b
chr1	34906802	34906804	Plekhb2
chr1	36125243	36125245	Hs6st1
chr1	36201157	36201159	Mir6897
chr1	36301146	36301148	Uggt1
chr1	36330269	36330271	Neurl3
chr1	36364576	36364578	Arid5a
chr1	36405602	36405604	Mir6898
chr1	36426025	36426027	Kansl3
chr1	36429134	36429136	Fer1l5
chr1	36502115	36502117	Lman2l
chr1	36528440	36528442	Cnnm4
chr1	36568719	36568721	Cnnm3
chr1	36592583	36592585	Ankrd23
chr1	36593400	36593402	Ankrd23
chr1	36604096	36604098	Ankrd39
chr1	36614401	36614403	Sema4c
chr1	36615225	36615227	Sema4c
chr1	36650176	36650178	Fam178b
chr1	36740027	36740029	Fam178b
chr1	36748330	36748332	Cox5b
chr1	36766769	36766771	Actr1b
chr1	36771381	36771383	4933424G06Rik
chr1	36818641	36818643	Zap70
chr1	36821358	36821360	Zap70
chr1	36823777	36823779	Zap70
chr1	36835827	36835829	Zap70
