index	AMYGDALA_CTRL_1	AMYGDALA_CTRL_2	AMYGDALA_FEAR_1	CORTEX_CTRL_1	CORTEX_CTRL_2	CORTEX_FEAR_1	CORTEX_FEAR_2	AMYGDALA_ERRB4_KO_1	AMYGDALA_ERRB4_KO_2	AMYGDALA_ERRB4_KO_3	AMYGDALA_ERRB4_WT_1	CORTEX_ERRB4_KO_1	CORTEX_ERRB4_KO_2	CORTEX_ERRB4_KO_3	CORTEX_ERRB4_WT_1	CORTEX_ERRB4_WT_2
1	1.1495030670172e-07	9.01446087982862e-08	1.09070716333418e-07	9.64449608167657e-08	1.22040673959899e-07	1.12750520434205e-07	1.52674435612123e-07	1.54410230750938e-07	1.82104057333896e-07	1.38163646082664e-07	1.89043043810651e-07	1.93803909737089e-07	1.68786830126971e-07	1.05679489474222e-07	2.01018432159858e-07	1.93557395479678e-07
2	1.17623569648272e-07	1.01412684898072e-07	1.09070716333418e-07	1.00302759249436e-07	1.22040673959899e-07	1.14159901939632e-07	1.52674435612123e-07	1.51193350943627e-07	1.82104057333896e-07	1.4679887396283e-07	1.72604518261899e-07	1.97841491189945e-07	1.71424124347705e-07	1.02156839825082e-07	2.01018432159858e-07	1.93557395479678e-07
3	1.12277043755169e-07	1.01412684898072e-07	1.09070716333418e-07	1.11876154547448e-07	1.18039340387443e-07	1.14159901939632e-07	1.52674435612123e-07	1.54410230750938e-07	1.82104057333896e-07	1.55434101842997e-07	1.76714149649087e-07	1.97841491189945e-07	1.71424124347705e-07	1.09202139123363e-07	2.07950102234335e-07	1.85657093623365e-07
4	1.17623569648272e-07	9.57786468481791e-08	1.12706406877866e-07	1.19591751412789e-07	1.18039340387443e-07	1.16978664950487e-07	1.50524091448572e-07	1.51193350943627e-07	1.907756791117e-07	1.5975171578308e-07	1.84933412423463e-07	2.05916654095657e-07	1.66149535906237e-07	1.12724788772504e-07	2.04484267197097e-07	1.85657093623365e-07
5	1.1495030670172e-07	9.57786468481791e-08	1.12706406877866e-07	1.19591751412789e-07	1.18039340387443e-07	1.16978664950487e-07	1.50524091448572e-07	1.54410230750938e-07	1.79213516741294e-07	1.55434101842997e-07	1.89043043810651e-07	2.01879072642801e-07	1.58237653244036e-07	1.12724788772504e-07	2.18347607346052e-07	1.81706942695208e-07
6	1.12277043755169e-07	1.01412684898072e-07	1.1997778796676e-07	1.17662852196454e-07	1.20040007173671e-07	1.18388046455915e-07	1.48373747285021e-07	1.5762711055825e-07	1.79213516741294e-07	1.5975171578308e-07	1.84933412423463e-07	1.97841491189945e-07	1.58237653244036e-07	1.12724788772504e-07	2.2527927742053e-07	1.85657093623365e-07
7	1.06930517862065e-07	1.07046722947965e-07	1.16342097422313e-07	1.17662852196454e-07	1.22040673959899e-07	1.22616190972197e-07	1.39772370630817e-07	1.5762711055825e-07	1.73432435556091e-07	1.55434101842997e-07	1.84933412423463e-07	2.09954235548513e-07	1.52963064802568e-07	1.19770088070785e-07	2.2527927742053e-07	1.97507546407835e-07
8	1.06930517862065e-07	1.07046722947965e-07	1.23613478511207e-07	1.17662852196454e-07	1.24041340746127e-07	1.24025572477625e-07	1.35471682303715e-07	1.54410230750938e-07	1.73432435556091e-07	1.51116487902914e-07	1.80823781036275e-07	2.01879072642801e-07	1.50325770581834e-07	1.19770088070785e-07	2.14881772308813e-07	2.05407848264148e-07
9	1.1495030670172e-07	1.07046722947965e-07	1.27249169055655e-07	1.15733952980119e-07	1.26042007532354e-07	1.29663098499335e-07	1.37622026467266e-07	1.54410230750938e-07	1.76322976148693e-07	1.64069329723163e-07	1.80823781036275e-07	1.97841491189945e-07	1.476884763611e-07	1.4090598596563e-07	2.18347607346052e-07	2.09357999192305e-07
10	1.17623569648272e-07	1.07046722947965e-07	1.27249169055655e-07	1.15733952980119e-07	1.24041340746127e-07	1.33891243015618e-07	1.31170993976613e-07	1.5762711055825e-07	1.84994597926497e-07	1.64069329723163e-07	1.72604518261899e-07	1.97841491189945e-07	1.45051182140366e-07	1.44428635614771e-07	2.14881772308813e-07	2.09357999192305e-07
11	1.20296832594823e-07	1.12680760997858e-07	1.23613478511207e-07	1.19591751412789e-07	1.3004334110481e-07	1.35300624521045e-07	1.31170993976613e-07	1.5762711055825e-07	1.82104057333896e-07	1.51116487902914e-07	1.76714149649087e-07	1.89766328284233e-07	1.45051182140366e-07	1.44428635614771e-07	2.04484267197097e-07	2.05407848264148e-07
12	1.20296832594823e-07	1.12680760997858e-07	1.23613478511207e-07	1.17662852196454e-07	1.26042007532354e-07	1.39528769037328e-07	1.31170993976613e-07	1.51193350943627e-07	1.79213516741294e-07	1.42481260022747e-07	1.76714149649087e-07	1.77653583925665e-07	1.52963064802568e-07	1.44428635614771e-07	1.90620927048141e-07	2.09357999192305e-07
13	1.20296832594823e-07	1.18314799047751e-07	1.16342097422313e-07	1.19591751412789e-07	1.36045341463494e-07	1.33891243015618e-07	1.29020649813062e-07	1.60843990365561e-07	1.76322976148693e-07	1.42481260022747e-07	1.76714149649087e-07	1.69578421019953e-07	1.52963064802568e-07	1.44428635614771e-07	1.90620927048141e-07	2.09357999192305e-07
14	1.25643358487927e-07	1.23948837097644e-07	1.16342097422313e-07	1.17662852196454e-07	1.46048675394633e-07	1.38119387531901e-07	1.33321338140164e-07	1.64060870172872e-07	1.84994597926497e-07	1.51116487902914e-07	1.72604518261899e-07	1.61503258114241e-07	1.58237653244036e-07	1.44428635614771e-07	1.97552597122619e-07	2.01457697335991e-07
15	1.3098988438103e-07	1.23948837097644e-07	1.12706406877866e-07	1.17662852196454e-07	1.42047341822177e-07	1.42347532048183e-07	1.31170993976613e-07	1.60843990365561e-07	1.82104057333896e-07	1.4679887396283e-07	1.72604518261899e-07	1.61503258114241e-07	1.55600359023302e-07	1.4090598596563e-07	2.07950102234335e-07	1.97507546407835e-07
16	1.3098988438103e-07	1.23948837097644e-07	1.12706406877866e-07	1.25378449061795e-07	1.40046675035949e-07	1.39528769037328e-07	1.29020649813062e-07	1.67277749980183e-07	1.82104057333896e-07	1.4679887396283e-07	1.72604518261899e-07	1.65540839567097e-07	1.63512241685503e-07	1.44428635614771e-07	2.07950102234335e-07	2.01457697335991e-07
17	1.41682936167237e-07	1.23948837097644e-07	1.16342097422313e-07	1.25378449061795e-07	1.42047341822177e-07	1.39528769037328e-07	1.31170993976613e-07	1.64060870172872e-07	1.67651354370888e-07	1.51116487902914e-07	1.76714149649087e-07	1.65540839567097e-07	1.55600359023302e-07	1.44428635614771e-07	2.01018432159858e-07	2.01457697335991e-07
18	1.44356199113788e-07	1.23948837097644e-07	1.1997778796676e-07	1.31165146710801e-07	1.40046675035949e-07	1.45166295059038e-07	1.29020649813062e-07	1.60843990365561e-07	1.67651354370888e-07	1.4679887396283e-07	1.76714149649087e-07	1.65540839567097e-07	1.60874947464769e-07	1.37383336316489e-07	2.01018432159858e-07	2.05407848264148e-07
19	1.44356199113788e-07	1.23948837097644e-07	1.1997778796676e-07	1.35022945143472e-07	1.42047341822177e-07	1.49394439575321e-07	1.29020649813062e-07	1.60843990365561e-07	1.67651354370888e-07	1.42481260022747e-07	1.72604518261899e-07	1.65540839567097e-07	1.55600359023302e-07	1.33860686667348e-07	1.97552597122619e-07	2.05407848264148e-07
20	1.44356199113788e-07	1.23948837097644e-07	1.1997778796676e-07	1.35022945143472e-07	1.38046008249721e-07	1.47985058069893e-07	1.2471996148596e-07	1.60843990365561e-07	1.7054189496349e-07	1.42481260022747e-07	1.72604518261899e-07	1.65540839567097e-07	1.55600359023302e-07	1.33860686667348e-07	2.01018432159858e-07	2.05407848264148e-07
21	1.39009673220685e-07	1.12680760997858e-07	1.1997778796676e-07	1.31165146710801e-07	1.36045341463494e-07	1.52213202586176e-07	1.31170993976613e-07	1.60843990365561e-07	1.73432435556091e-07	1.42481260022747e-07	1.68494886874711e-07	1.69578421019953e-07	1.55600359023302e-07	1.37383336316489e-07	1.97552597122619e-07	2.05407848264148e-07
22	1.41682936167237e-07	1.18314799047751e-07	1.23613478511207e-07	1.31165146710801e-07	1.34044674677266e-07	1.56441347102459e-07	1.31170993976613e-07	1.60843990365561e-07	1.67651354370888e-07	1.38163646082664e-07	1.64385255487523e-07	1.73616002472809e-07	1.58237653244036e-07	1.4090598596563e-07	1.97552597122619e-07	2.09357999192305e-07
23	1.41682936167237e-07	1.18314799047751e-07	1.27249169055655e-07	1.36951844359807e-07	1.42047341822177e-07	1.62078873124169e-07	1.35471682303715e-07	1.60843990365561e-07	1.73432435556091e-07	1.42481260022747e-07	1.60275624100335e-07	1.81691165378521e-07	1.63512241685503e-07	1.51473934913052e-07	1.97552597122619e-07	1.97507546407835e-07
24	1.39009673220685e-07	1.23948837097644e-07	1.1997778796676e-07	1.36951844359807e-07	1.50050008967089e-07	1.63488254629597e-07	1.35471682303715e-07	1.60843990365561e-07	1.79213516741294e-07	1.5975171578308e-07	1.64385255487523e-07	1.93803909737089e-07	1.60874947464769e-07	1.51473934913052e-07	2.04484267197097e-07	1.97507546407835e-07
25	1.41682936167237e-07	1.46484989297215e-07	1.23613478511207e-07	1.31165146710801e-07	1.52050675753316e-07	1.69125780651307e-07	1.35471682303715e-07	1.5762711055825e-07	1.76322976148693e-07	1.55434101842997e-07	1.64385255487523e-07	2.01879072642801e-07	1.60874947464769e-07	1.58519234211334e-07	2.18347607346052e-07	2.01457697335991e-07
26	1.44356199113788e-07	1.46484989297215e-07	1.16342097422313e-07	1.29236247494466e-07	1.46048675394633e-07	1.69125780651307e-07	1.37622026467266e-07	1.5762711055825e-07	1.93666219704302e-07	1.55434101842997e-07	1.68494886874711e-07	2.09954235548513e-07	1.66149535906237e-07	1.54996584562193e-07	2.18347607346052e-07	1.97507546407835e-07
27	1.41682936167237e-07	1.40850951247322e-07	1.05435025788971e-07	1.27307348278131e-07	1.48049342180861e-07	1.66307017640452e-07	1.37622026467266e-07	1.54410230750938e-07	1.907756791117e-07	1.51116487902914e-07	1.56165992713147e-07	2.01879072642801e-07	1.66149535906237e-07	1.54996584562193e-07	2.11415937271574e-07	1.89607244551521e-07
28	1.36336410274133e-07	1.40850951247322e-07	1.05435025788971e-07	1.21520650629125e-07	1.42047341822177e-07	1.64897636135024e-07	1.33321338140164e-07	1.5762711055825e-07	1.87885138519099e-07	1.42481260022747e-07	1.56165992713147e-07	2.05916654095657e-07	1.58237653244036e-07	1.58519234211334e-07	2.28745112457769e-07	1.85657093623365e-07
29	1.41682936167237e-07	1.35216913197429e-07	1.01799335244524e-07	1.19591751412789e-07	1.42047341822177e-07	1.64897636135024e-07	1.31170993976613e-07	1.54410230750938e-07	1.87885138519099e-07	1.4679887396283e-07	1.47946729938771e-07	2.01879072642801e-07	1.55600359023302e-07	1.54996584562193e-07	2.28745112457769e-07	1.89607244551521e-07
30	1.36336410274133e-07	1.35216913197429e-07	1.01799335244524e-07	1.19591751412789e-07	1.40046675035949e-07	1.60669491618742e-07	1.22569617322409e-07	1.73711509594806e-07	1.907756791117e-07	1.42481260022747e-07	1.43837098551583e-07	1.89766328284233e-07	1.60874947464769e-07	1.65564533509615e-07	2.2527927742053e-07	1.89607244551521e-07
31	1.36336410274133e-07	1.35216913197429e-07	9.81636447000765e-08	1.2344954984546e-07	1.36045341463494e-07	1.55031965597031e-07	1.18268928995307e-07	1.73711509594806e-07	1.99447300889505e-07	1.4679887396283e-07	1.47946729938771e-07	1.89766328284233e-07	1.66149535906237e-07	1.65564533509615e-07	2.21813442383291e-07	1.81706942695208e-07
32	1.36336410274133e-07	1.35216913197429e-07	9.81636447000765e-08	1.2344954984546e-07	1.34044674677266e-07	1.57850728607886e-07	1.11817896504654e-07	1.67277749980183e-07	1.96556760296903e-07	1.51116487902914e-07	1.35617835777206e-07	1.93803909737089e-07	1.66149535906237e-07	1.69087183158756e-07	2.18347607346052e-07	1.89607244551521e-07
33	1.41682936167237e-07	1.35216913197429e-07	1.01799335244524e-07	1.31165146710801e-07	1.36045341463494e-07	1.63488254629597e-07	1.16118584831756e-07	1.70494629787494e-07	1.96556760296903e-07	1.68386943663247e-07	1.35617835777206e-07	1.97841491189945e-07	1.74061418568439e-07	1.69087183158756e-07	2.2527927742053e-07	1.89607244551521e-07
34	1.41682936167237e-07	1.40850951247322e-07	1.05435025788971e-07	1.29236247494466e-07	1.32044007891038e-07	1.66307017640452e-07	1.16118584831756e-07	1.73711509594806e-07	2.08118922667309e-07	1.7270455760333e-07	1.35617835777206e-07	1.89766328284233e-07	1.79336007009907e-07	1.76132482457037e-07	2.2527927742053e-07	1.97507546407835e-07
35	1.41682936167237e-07	1.35216913197429e-07	9.81636447000765e-08	1.29236247494466e-07	1.32044007891038e-07	1.69125780651307e-07	1.20419273158858e-07	1.73711509594806e-07	2.08118922667309e-07	1.77022171543413e-07	1.39727467164395e-07	2.01879072642801e-07	1.84610595451375e-07	1.76132482457037e-07	2.28745112457769e-07	2.09357999192305e-07
36	1.41682936167237e-07	1.35216913197429e-07	1.01799335244524e-07	1.31165146710801e-07	1.36045341463494e-07	1.67716399145879e-07	1.2471996148596e-07	1.73711509594806e-07	1.99447300889505e-07	1.81339785483496e-07	1.31508204390018e-07	2.01879072642801e-07	1.84610595451375e-07	1.72609832807897e-07	2.32210947495008e-07	2.17258301048618e-07
37	1.39009673220685e-07	1.23948837097644e-07	1.05435025788971e-07	1.33094045927137e-07	1.34044674677266e-07	1.70535162156734e-07	1.22569617322409e-07	1.73711509594806e-07	2.02337841482106e-07	1.8565739942358e-07	1.39727467164395e-07	1.97841491189945e-07	1.81973301230641e-07	1.72609832807897e-07	2.18347607346052e-07	2.17258301048618e-07
38	1.49702725006891e-07	1.23948837097644e-07	1.05435025788971e-07	1.38880743576143e-07	1.42047341822177e-07	1.70535162156734e-07	1.22569617322409e-07	1.73711509594806e-07	1.96556760296903e-07	1.8565739942358e-07	1.35617835777206e-07	1.93803909737089e-07	1.76698712789173e-07	1.79655132106178e-07	2.18347607346052e-07	2.25158602904932e-07
