name2	chrom	f10.AMYGDALA_CTRL_1	f10.AMYGDALA_CTRL_2	f10.AMYGDALA_FEAR_1	f10.AMYGDALA_FEAR_2	f10.CORTEX_CTRL_1	f10.CORTEX_CTRL_2	f10.CORTEX_FEAR_1	f10.CORTEX_FEAR_2	f10.AMYGDALA_ERRB4_KO_1	f10.AMYGDALA_ERRB4_KO_2	f10.AMYGDALA_ERRB4_KO_3	f10.AMYGDALA_ERRB4_WT_1	f10.AMYGDALA_ERRB4_WT_2	f10.CORTEX_ERRB4_KO_1	f10.CORTEX_ERRB4_KO_2	f10.CORTEX_ERRB4_KO_3	f10.CORTEX_ERRB4_WT_1	f10.CORTEX_ERRB4_WT_2
Xkr4	chr1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Rp1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	chr1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Lypla1	chr1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tcea1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rgs20	chr1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1
Atp6v1h	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Oprk1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fam150a	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Pcmtd1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sntg1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Rrs1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adhfe1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110035E14Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
2610203C22Rik	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1
Mybl1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1700034P13Rik	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Vcpip1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sgk3	chr1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1
Mcmdc2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snord87	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snhg6	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Tcf24	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Cspp1	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Arfgef1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cpa6	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Prex2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
A830018L16Rik	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mir6341	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
