name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Xkr4	chr1	58	85	108
Rp1	chr1	1	1	29
Sox17	chr1	3	53	69
Mrpl15	chr1	176	179	181
Lypla1	chr1	176	180	181
Tcea1	chr1	193	193	193
Rgs20	chr1	74	80	116
Atp6v1h	chr1	175	185	185
Oprk1	chr1	10	11	13
Npbwr1	chr1	9	17	19
Rb1cc1	chr1	188	191	191
Fam150a	chr1	24	25	135
St18	chr1	37	61	109
Pcmtd1	chr1	193	193	193
Sntg1	chr1	6	10	53
Rrs1	chr1	190	193	193
Adhfe1	chr1	18	24	118
3110035E14Rik	chr1	0	2	34
2610203C22Rik	chr1	16	57	122
Mybl1	chr1	164	188	188
1700034P13Rik	chr1	44	193	193
Vcpip1	chr1	193	193	193
Sgk3	chr1	136	149	155
Mcmdc2	chr1	7	9	13
Snord87	chr1	1	40	40
Snhg6	chr1	182	183	183
Tcf24	chr1	88	111	111
Ppp1r42	chr1	55	61	154
Cops5	chr1	159	170	170
Cspp1	chr1	124	170	188
Arfgef1	chr1	141	173	176
Cpa6	chr1	8	16	131
Prex2	chr1	44	63	113
A830018L16Rik	chr1	60	63	94
Mir6341	chr1	0	0	0
Gm17644	chr1	0	0	11
Sulf1	chr1	25	34	79
Slco5a1	chr1	77	123	145
Prdm14	chr1	12	27	43
Ncoa2	chr1	183	191	192
Tram1	chr1	150	164	173
Lactb2	chr1	178	182	184
Xkr9	chr1	1	1	32
Gm5523	chr1	0	10	26
Eya1	chr1	103	126	150
Msc	chr1	8	23	23
Trpa1	chr1	27	28	28
Kcnb2	chr1	0	0	108
Terf1	chr1	188	190	190
Sbspon	chr1	31	33	47
4930444P10Rik	chr1	94	106	107
Rpl7	chr1	155	188	188
Rdh10	chr1	138	186	189
Stau2	chr1	135	159	179
Ube2w	chr1	186	188	188
Tceb1	chr1	193	193	193
D030040B21Rik	chr1	39	193	193
Tmem70	chr1	165	173	173
Ly96	chr1	142	160	160
Jph1	chr1	151	156	156
Gdap1	chr1	84	97	100
Pi15	chr1	0	2	58
Crispld1	chr1	31	35	36
Gm16070	chr1	27	35	37
Crisp4	chr1	0	0	1
Defb44-ps	chr1	0	0	1
Defb18	chr1	0	0	0
Defb41	chr1	0	0	0
Gm15386	chr1	0	0	0
Tfap2d	chr1	0	1	5
Tfap2b	chr1	0	6	22
4930486I03Rik	chr1	0	0	4
Pkhd1	chr1	0	1	91
Linc-md1	chr1	3	3	8
Mir206	chr1	4	4	5
Mir133b	chr1	0	0	0
Il17a	chr1	6	7	7
Il17f	chr1	15	15	15
Mcm3	chr1	173	193	193
6720483E21Rik	chr1	159	181	181
Paqr8	chr1	181	181	181
Efhc1	chr1	188	189	190
Tram2	chr1	172	184	187
Tmem14a	chr1	155	166	180
Gsta3	chr1	19	25	57
Gm4956	chr1	0	6	34
Khdc1a	chr1	0	10	10
Khdc1c	chr1	4	6	8
Khdc1b	chr1	1	10	11
Kcnq5	chr1	52	162	174
Rims1	chr1	47	84	96
4933415F23Rik	chr1	0	1	8
Mir30a	chr1	21	29	29
Mir30c-2	chr1	0	3	4
Ogfrl1	chr1	166	187	188
B3gat2	chr1	24	167	178
Smap1	chr1	162	168	172
Sdhaf4	chr1	173	174	174
Fam135a	chr1	167	174	177
Col9a1	chr1	0	4	78
Col19a1	chr1	47	76	122
Lmbrd1	chr1	188	191	191
Gm20172	chr1	0	0	0
Adgrb3	chr1	5	53	103
4931408C20Rik	chr1	143	161	161
Gm597	chr1	0	0	1
Mir6342	chr1	0	1	1
Phf3	chr1	0	2	57
Gm13363	chr1	183	193	193
Ptp4a1	chr1	190	193	193
Lgsn	chr1	0	2	8
4931428L18Rik	chr1	8	11	90
Pih1d3	chr1	6	11	11
Gm4850	chr1	0	3	3
Khdrbs2	chr1	77	80	101
Gm9839	chr1	0	0	0
Gm5415	chr1	0	0	0
Prim2	chr1	156	169	186
1700001G17Rik	chr1	157	169	169
Rab23	chr1	172	176	180
Bag2	chr1	148	162	162
Zfp451	chr1	174	183	183
Gm15455	chr1	3	3	3
Bend6	chr1	77	114	148
Dst	chr1	58	166	179
Mir6896	chr1	0	0	0
Mir5103	chr1	36	98	98
Ccdc115	chr1	188	190	190
Imp4	chr1	184	190	190
Ptpn18	chr1	163	171	177
Prss39	chr1	0	2	2
Cfc1	chr1	0	8	60
Prss40	chr1	0	1	9
Amer3	chr1	85	88	103
AA619741	chr1	0	0	0
Arhgef4	chr1	142	146	151
Fam168b	chr1	148	161	165
Plekhb2	chr1	137	143	153
Hs6st1	chr1	134	144	169
Mir6897	chr1	0	4	4
Uggt1	chr1	165	168	171
Neurl3	chr1	109	125	131
Arid5a	chr1	153	157	160
Mir6898	chr1	0	0	0
