name2	chrom
Xkr4	chr1
Rp1	chr1
Sox17	chr1
Mrpl15	chr1
Lypla1	chr1
Tcea1	chr1
Rgs20	chr1
Atp6v1h	chr1
Oprk1	chr1
Npbwr1	chr1
Rb1cc1	chr1
Fam150a	chr1
St18	chr1
Pcmtd1	chr1
Sntg1	chr1
Rrs1	chr1
Adhfe1	chr1
3110035E14Rik	chr1
2610203C22Rik	chr1
Mybl1	chr1
1700034P13Rik	chr1
Vcpip1	chr1
Sgk3	chr1
Mcmdc2	chr1
Snord87	chr1
Snhg6	chr1
Tcf24	chr1
Ppp1r42	chr1
Cops5	chr1
Cspp1	chr1
Arfgef1	chr1
Cpa6	chr1
Prex2	chr1
A830018L16Rik	chr1
Mir6341	chr1
Gm17644	chr1
Sulf1	chr1
Slco5a1	chr1
Prdm14	chr1
Ncoa2	chr1
Tram1	chr1
Lactb2	chr1
Xkr9	chr1
Gm5523	chr1
Eya1	chr1
Msc	chr1
Trpa1	chr1
Kcnb2	chr1
Terf1	chr1
Sbspon	chr1
4930444P10Rik	chr1
Rpl7	chr1
Rdh10	chr1
Stau2	chr1
Ube2w	chr1
Tceb1	chr1
D030040B21Rik	chr1
Tmem70	chr1
Ly96	chr1
Jph1	chr1
Gdap1	chr1
Pi15	chr1
Crispld1	chr1
Gm16070	chr1
Crisp4	chr1
Defb44-ps	chr1
Defb18	chr1
Defb41	chr1
Gm15386	chr1
Tfap2d	chr1
Tfap2b	chr1
4930486I03Rik	chr1
Pkhd1	chr1
Linc-md1	chr1
Mir206	chr1
Mir133b	chr1
Il17a	chr1
Il17f	chr1
Mcm3	chr1
6720483E21Rik	chr1
Paqr8	chr1
Efhc1	chr1
Tram2	chr1
Tmem14a	chr1
Gsta3	chr1
Gm4956	chr1
Khdc1a	chr1
Khdc1c	chr1
Khdc1b	chr1
Kcnq5	chr1
Rims1	chr1
4933415F23Rik	chr1
Mir30a	chr1
Mir30c-2	chr1
Ogfrl1	chr1
B3gat2	chr1
Smap1	chr1
Sdhaf4	chr1
Fam135a	chr1
Col9a1	chr1
Col19a1	chr1
Lmbrd1	chr1
Gm20172	chr1
Adgrb3	chr1
4931408C20Rik	chr1
Gm597	chr1
Mir6342	chr1
Phf3	chr1
Gm13363	chr1
Ptp4a1	chr1
Lgsn	chr1
4931428L18Rik	chr1
Pih1d3	chr1
Gm4850	chr1
Khdrbs2	chr1
Gm9839	chr1
Gm5415	chr1
Prim2	chr1
1700001G17Rik	chr1
Rab23	chr1
Bag2	chr1
Zfp451	chr1
Gm15455	chr1
Bend6	chr1
Dst	chr1
Mir6896	chr1
Mir5103	chr1
Ccdc115	chr1
Imp4	chr1
Ptpn18	chr1
Prss39	chr1
Cfc1	chr1
Prss40	chr1
Amer3	chr1
AA619741	chr1
Arhgef4	chr1
Fam168b	chr1
Plekhb2	chr1
Hs6st1	chr1
Mir6897	chr1
Uggt1	chr1
Neurl3	chr1
Arid5a	chr1
Mir6898	chr1
Kansl3	chr1
Fer1l5	chr1
Lman2l	chr1
Cnnm4	chr1
Cnnm3	chr1
Ankrd23	chr1
Ankrd39	chr1
Sema4c	chr1
Fam178b	chr1
Cox5b	chr1
Actr1b	chr1
4933424G06Rik	chr1
Zap70	chr1
Tmem131	chr1
Cnga3	chr1
Inpp4a	chr1
Coa5	chr1
Unc50	chr1
4930594C11Rik	chr1
Mgat4a	chr1
2010300C02Rik	chr1
Tsga10	chr1
Lipt1	chr1
Mitd1	chr1
Mrpl30	chr1
Lyg2	chr1
Lyg1	chr1
Txndc9	chr1
Eif5b	chr1
Rev1	chr1
Aff3	chr1
Lonrf2	chr1
Chst10	chr1
Nms	chr1
Pdcl3	chr1
Mir6349	chr1
Npas2	chr1
Rpl31	chr1
Tbc1d8	chr1
Cnot11	chr1
Snord89	chr1
Rnf149	chr1
Creg2	chr1
Rfx8	chr1
Gm3646	chr1
1700066B17Rik	chr1
Map4k4	chr1
Il1r2	chr1
Gm16894	chr1
Il1r1	chr1
Il1rl2	chr1
Il1rl1	chr1
Il18r1	chr1
Il18rap	chr1
Slc9a4	chr1
Slc9a2	chr1
Mfsd9	chr1
Tmem182	chr1
4930448I06Rik	chr1
Pantr1	chr1
Pou3f3	chr1
2900092D14Rik	chr1
Pantr2	chr1
Dalir	chr1
Mrps9	chr1
Gpr45	chr1
Tgfbrap1	chr1
AI597479	chr1
Fhl2	chr1
Nck2	chr1
1500015O10Rik	chr1
Uxs1	chr1
Tpp2	chr1
Mettl21c	chr1
Tex30	chr1
Kdelc1	chr1
Bivm	chr1
Ercc5	chr1
Mettl21e	chr1
Gulp1	chr1
4930521E06Rik	chr1
Col3a1	chr1
Col5a2	chr1
Wdr75	chr1
Slc40a1	chr1
Stk-ps2	chr1
Dnah7b	chr1
Dnah7c	chr1
Slc39a10	chr1
Mir6350	chr1
Tmeff2	chr1
Sdpr	chr1
9330175M20Rik	chr1
Nabp1	chr1
Myo1b	chr1
Stat4	chr1
Stat1	chr1
Gls	chr1
Nab1	chr1
Tmem194b	chr1
Mfsd6	chr1
Inpp1	chr1
Hibch	chr1
1700019D03Rik	chr1
Mstn	chr1
1700019A02Rik	chr1
Pms1	chr1
Ormdl1	chr1
Osgepl1	chr1
Asnsd1	chr1
Dnah7a	chr1
Stk17b	chr1
Mir7681	chr1
Hecw2	chr1
Ccdc150	chr1
Gtf3c3	chr1
Pgap1	chr1
Ankrd44	chr1
Sf3b1	chr1
Coq10b	chr1
Hspd1	chr1
Hspe1	chr1
Mob4	chr1
Rftn2	chr1
Mars2	chr1
Boll	chr1
Plcl1	chr1
9130227L01Rik	chr1
1700003I22Rik	chr1
Hsfy2	chr1
Satb2	chr1
9130024F11Rik	chr1
BC055402	chr1
4930558J18Rik	chr1
1700066M21Rik	chr1
9430016H08Rik	chr1
Tyw5	chr1
Spats2l	chr1
Kctd18	chr1
Sgol2a	chr1
Aox1	chr1
Aox3	chr1
Aox4	chr1
Aox2	chr1
Bzw1	chr1
Clk1	chr1
Ppil3	chr1
Nif3l1	chr1
Orc2	chr1
Fam126b	chr1
Ndufb3	chr1
Gm20257	chr1
Als2cr12	chr1
Cflar	chr1
Casp8	chr1
Trak2	chr1
Stradb	chr1
Als2cr11	chr1
Tmem237	chr1
Mpp4	chr1
Als2	chr1
Cdk15	chr1
Fzd7	chr1
Gm973	chr1
Sumo1	chr1
Nop58	chr1
Snord70	chr1
Snord11	chr1
Bmpr2	chr1
Fam117b	chr1
Ica1l	chr1
Wdr12	chr1
Carf	chr1
Nbeal1	chr1
Cyp20a1	chr1
Abi2	chr1
Raph1	chr1
Cd28	chr1
Ctla4	chr1
Icos	chr1
9530026F06Rik	chr1
Pard3b	chr1
Nrp2	chr1
4930487H11Rik	chr1
Ino80d	chr1
Ino80dos	chr1
Ndufs1	chr1
Eef1b2	chr1
Snora41	chr1
Zdbf2	chr1
Gpr1	chr1
Adam23	chr1
Dytn	chr1
Mdh1b	chr1
Fastkd2	chr1
4933402D24Rik	chr1
Gm13749	chr1
Mir6899	chr1
Klf7	chr1
Creb1	chr1
Mettl21a	chr1
2810408I11Rik	chr1
Ccnyl1	chr1
Fzd5	chr1
Plekhm3	chr1
Akr1cl	chr1
Cryge	chr1
Crygd	chr1
Crygc	chr1
Crygb	chr1
Cryga	chr1
D630023F18Rik	chr1
Idh1	chr1
Pikfyve	chr1
Pth2r	chr1
Crygf	chr1
Map2	chr1
Unc80	chr1
Rpe	chr1
Kansl1l	chr1
Acadl	chr1
Myl1	chr1
Lancl1	chr1
Cps1	chr1
Erbb4	chr1
Ikzf2	chr1
Spag16	chr1
Vwc2l	chr1
Bard1	chr1
Abca12	chr1
Atic	chr1
Fn1	chr1
Apol7d	chr1
Gm8883	chr1
4933417E11Rik	chr1
Mreg	chr1
Pecr	chr1
Tmem169	chr1
Xrcc5	chr1
March4	chr1
Smarcal1	chr1
Ankar	chr1
Rpl37a	chr1
Igfbp2	chr1
Igfbp5	chr1
Tnp1	chr1
1700027A15Rik	chr1
D530049I02Rik	chr1
Pinc	chr1
Mir6351	chr1
6030407O03Rik	chr1
Tns1	chr1
Rufy4	chr1
Cxcr2	chr1
Cxcr1	chr1
Mir1928	chr1
Arpc2	chr1
Gpbar1	chr1
Aamp	chr1
Pnkd	chr1
Tmbim1	chr1
Catip	chr1
Slc11a1	chr1
Ctdsp1	chr1
Mir26b	chr1
Vil1	chr1
Usp37	chr1
Rqcd1	chr1
Plcd4	chr1
Zfp142	chr1
Bcs1l	chr1
Rnf25	chr1
Stk36	chr1
Ttll4	chr1
Cyp27a1	chr1
Prkag3	chr1
Wnt6	chr1
Wnt10a	chr1
Cdk5r2	chr1
Fev	chr1
Cryba2	chr1
Mir375	chr1
Ccdc108	chr1
Ihh	chr1
Nhej1	chr1
Slc23a3	chr1
Cnppd1	chr1
Fam134a	chr1
Zfand2b	chr1
Abcb6	chr1
Atg9a	chr1
Ankzf1	chr1
Glb1l	chr1
Stk16	chr1
Tuba4a	chr1
A630095N17Rik	chr1
Dnajb2	chr1
Ptprn	chr1
Resp18	chr1
Dnpep	chr1
Des	chr1
Gm15179	chr1
Speg	chr1
Gmppa	chr1
Asic4	chr1
Chpf	chr1
Tmem198	chr1
Obsl1	chr1
Inha	chr1
Stk11ip	chr1
Slc4a3	chr1
Gm17751	chr1
Mir6343	chr1
Mir6352	chr1
Epha4	chr1
Pax3	chr1
Sgpp2	chr1
Farsb	chr1
Mogat1	chr1
Acsl3	chr1
Utp14b	chr1
Kcne4	chr1
Scg2	chr1
Ap1s3	chr1
Wdfy1	chr1
Mrpl44	chr1
Serpine2	chr1
Fam124b	chr1
Cul3	chr1
1700016L21Rik	chr1
Dock10	chr1
Nyap2	chr1
Mir6344	chr1
Irs1	chr1
Rhbdd1	chr1
Col4a4	chr1
Col4a3	chr1
Mff	chr1
Tm4sf20	chr1
Agfg1	chr1
Slc19a3	chr1
Krtap28-13	chr1
Ccl20	chr1
Daw1	chr1
Sphkap	chr1
Mir6353	chr1
Pid1	chr1
Mir5126	chr1
Dner	chr1
Trip12	chr1
Fbxo36	chr1
Slc16a14	chr1
A530032D15Rik	chr1
Gm7609	chr1
C130026I21Rik	chr1
Sp110	chr1
Sp140	chr1
Sp100	chr1
A630001G21Rik	chr1
Mir8096	chr1
9930111H07Rik	chr1
Cab39	chr1
Itm2c	chr1
4933407L21Rik	chr1
Gpr55	chr1
Spata3	chr1
2810459M11Rik	chr1
Psmd1	chr1
Htr2b	chr1
Armc9	chr1
B3gnt7	chr1
Snora75	chr1
Gm24148	chr1
Snord82	chr1
Ncl	chr1
C130036L24Rik	chr1
Nmur1	chr1
1700019O17Rik	chr1
Ptma	chr1
Pde6d	chr1
Cops7b	chr1
Nppc	chr1
Dis3l2	chr1
Alppl2	chr1
Alpi	chr1
Akp3	chr1
Ecel1	chr1
Prss56	chr1
Chrnd	chr1
Chrng	chr1
Eif4e2	chr1
Efhd1	chr1
Gigyf2	chr1
Kcnj13	chr1
3110079O15Rik	chr1
Ngef	chr1
Neu2	chr1
Inpp5d	chr1
Atg16l1	chr1
Scarna6	chr1
Sag	chr1
Dgkd	chr1
Usp40	chr1
Ugt1a10	chr1
Ugt1a9	chr1
Ugt1a7c	chr1
Ugt1a6b	chr1
Ugt1a6a	chr1
Ugt1a5	chr1
Ugt1a2	chr1
Dnajb3	chr1
Ugt1a1	chr1
Mroh2a	chr1
6430706D22Rik	chr1
A730008H23Rik	chr1
Hjurp	chr1
Trpm8	chr1
Spp2	chr1
Glrp1	chr1
Gm19589	chr1
Arl4c	chr1
Platr5	chr1
1700067G17Rik	chr1
Sh3bp4	chr1
C030007H22Rik	chr1
Agap1	chr1
4933400F21Rik	chr1
Gbx2	chr1
Asb18	chr1
Iqca	chr1
Ackr3	chr1
Cops8	chr1
Col6a3	chr1
Mlph	chr1
Prlh	chr1
Rab17	chr1
Lrrfip1	chr1
Rbm44	chr1
Ramp1	chr1
Ube2f	chr1
Scly	chr1
Espnl	chr1
Klhl30	chr1
Fam132b	chr1
Ilkap	chr1
1700020N18Rik	chr1
Hes6	chr1
Per2	chr1
Traf3ip1	chr1
Asb1	chr1
Twist2	chr1
Hdac4	chr1
Mir6900	chr1
Ndufa10	chr1
Olfr1416	chr1
Olfr1415	chr1
Olfr1414	chr1
Olfr1413	chr1
Olfr1412	chr1
Olfr1411	chr1
Olfr1410	chr1
Olfr12	chr1
Myeov2	chr1
Otos	chr1
Gpc1	chr1
Mir149	chr1
Ankmy1	chr1
Dusp28	chr1
Rnpepl1	chr1
Capn10	chr1
9430060I03Rik	chr1
Gpr35	chr1
Aqp12	chr1
Kif1a	chr1
Agxt	chr1
2310007B03Rik	chr1
Crocc2	chr1
Sned1	chr1
Mir6901	chr1
Mterf4	chr1
Pask	chr1
Ppp1r7	chr1
Mir6902	chr1
Mir6345	chr1
Ano7	chr1
Hdlbp	chr1
Sept2	chr1
Farp2	chr1
Stk25	chr1
Bok	chr1
Thap4	chr1
Atg4b	chr1
Dtymk	chr1
Ing5	chr1
D2hgdh	chr1
Gal3st2	chr1
Gm9994	chr1
Gm6086	chr1
Neu4	chr1
Pdcd1	chr1
4930440C22Rik	chr1
Fam174a	chr1
St8sia4	chr1
4930598F16Rik	chr1
1700063A18Rik	chr1
4930533P14Rik	chr1
Panct2	chr1
Slco4c1	chr1
Slco6b1	chr1
Slco6c1	chr1
D1Ertd622e	chr1
Ppip5k2	chr1
Gin1	chr1
B230216N24Rik	chr1
Pam	chr1
1810006J02Rik	chr1
Slco6d1	chr1
Cntnap5b	chr1
Gm20268	chr1
Cdh20	chr1
Rnf152	chr1
Pign	chr1
2310035C23Rik	chr1
Tnfrsf11a	chr1
Zcchc2	chr1
Gm20753	chr1
Phlpp1	chr1
Mir3473f	chr1
Bcl2	chr1
Kdsr	chr1
Vps4b	chr1
Serpinb5	chr1
Serpinb12	chr1
Serpinb13	chr1
Serpinb3a	chr1
Serpinb3d	chr1
Serpinb3b	chr1
Serpinb3c	chr1
Serpinb11	chr1
Serpinb7	chr1
Serpinb2	chr1
Serpinb10	chr1
Serpinb8	chr1
D830032E09Rik	chr1
Cdh7	chr1
Cdh19	chr1
Dsel	chr1
Cntnap5a	chr1
Tsn	chr1
Nifk	chr1
Clasp1	chr1
2900060B14Rik	chr1
Tfcp2l1	chr1
Mir6346	chr1
Gli2	chr1
Inhbb	chr1
Ralb	chr1
Tmem185b	chr1
3830432H09Rik	chr1
Epb41l5	chr1
Ptpn4	chr1
Tmem177	chr1
Cfap221	chr1
Sctr	chr1
Tmem37	chr1
Dbi	chr1
3110009E18Rik	chr1
Steap3	chr1
C1ql2	chr1
Marco	chr1
En1	chr1
Celrr	chr1
Insig2	chr1
Ccdc93	chr1
Htr5b	chr1
Ddx18	chr1
Dpp10	chr1
Actr3	chr1
Slc35f5	chr1
Gpr39	chr1
Lypd1	chr1
Nckap5	chr1
Mgat5	chr1
Tmem163	chr1
Acmsd	chr1
2900009J06Rik	chr1
Ccnt2	chr1
Map3k19	chr1
Rab3gap1	chr1
Zranb3	chr1
R3hdm1	chr1
Mir128-1	chr1
Ubxn4	chr1
Lct	chr1
Mcm6	chr1
Dars	chr1
Cxcr4	chr1
Thsd7b	chr1
Cd55b	chr1
Cd55	chr1
Zp3r	chr1
C4bp	chr1
C4bp-ps1	chr1
Pfkfb2	chr1
Yod1	chr1
AA986860	chr1
Fcamr	chr1
Pigr	chr1
Fcmr	chr1
Il24	chr1
Il20	chr1
Il19	chr1
Il10	chr1
Mapkapk2	chr1
Dyrk3	chr1
Eif2d	chr1
Rassf5	chr1
Ikbke	chr1
Srgap2	chr1
Fam72a	chr1
Avpr1b	chr1
Ctse	chr1
Rab7b	chr1
Slc26a9	chr1
Pm20d1	chr1
Slc41a1	chr1
Rab29	chr1
Nucks1	chr1
Slc45a3	chr1
Elk4	chr1
Mfsd4	chr1
Cdk18	chr1
Lemd1	chr1
Mir135b	chr1
Klhdc8a	chr1
Nuak2	chr1
Tmcc2	chr1
Dstyk	chr1
Rbbp5	chr1
Tmem81	chr1
Cntn2	chr1
Nfasc	chr1
Gm10538	chr1
Lrrn2	chr1
Mdm4	chr1
Pik3c2b	chr1
Ppp1r15b	chr1
Plekha6	chr1
Gm19461	chr1
Golt1a	chr1
Kiss1	chr1
Ren2	chr1
Ren1	chr1
Etnk2	chr1
Sox13	chr1
Snrpe	chr1
Zbed6	chr1
Zc3h11a	chr1
Lax1	chr1
Mir6903	chr1
Atp2b4	chr1
Optc	chr1
Prelp	chr1
Fmod	chr1
Btg2	chr1
Chit1	chr1
Chil1	chr1
Mybph	chr1
Adora1	chr1
Myog	chr1
Ppfia4	chr1
Tmem183a	chr1
4933406M09Rik	chr1
Cyb5r1	chr1
Adipor1	chr1
Klhl12	chr1
Rabif	chr1
Mgat4e	chr1
Kdm5b	chr1
Syt2	chr1
Ppp1r12b	chr1
Ube2t	chr1
Lgr6	chr1
Ptprv	chr1
Ptpn7	chr1
Arl8a	chr1
Gpr37l1	chr1
Elf3	chr1
Rnpep	chr1
Timm17a	chr1
Lmod1	chr1
Shisa4	chr1
Ipo9	chr1
Mir1231	chr1
Nav1	chr1
Csrp1	chr1
Phlda3	chr1
Tnni1	chr1
Lad1	chr1
Tnnt2	chr1
Pkp1	chr1
Igfn1	chr1
Tmem9	chr1
Ascl5	chr1
Cacna1s	chr1
Gm15850	chr1
Kif21b	chr1
5730559C18Rik	chr1
Gpr25	chr1
Camsap2	chr1
Ddx59	chr1
9230116N13Rik	chr1
Kif14	chr1
Zfp281	chr1
Gm19705	chr1
Platr22	chr1
Nr5a2	chr1
Mir181a-1	chr1
Mir181b-1	chr1
Ptprc	chr1
Atp6v1g3	chr1
Nek7	chr1
Gm5833	chr1
Lhx9	chr1
2310009B15Rik	chr1
Dennd1b	chr1
4930596I21Rik	chr1
Crb1	chr1
4933436E23Rik	chr1
Zbtb41	chr1
Aspm	chr1
F13b	chr1
Cfhr1	chr1
Gm4788	chr1
Cfhr2	chr1
Cfh	chr1
Kcnt2	chr1
4930590L20Rik	chr1
B3galt2	chr1
Cdc73	chr1
Glrx2	chr1
Trove2	chr1
Uchl5	chr1
Rgs2	chr1
Rgs13	chr1
Rgs1	chr1
Rgs21	chr1
Rgs18	chr1
Brinp3	chr1
Pla2g4a	chr1
Mir7652	chr1
Ptgs2os	chr1
Ptgs2	chr1
Ptgs2os2	chr1
Pdc	chr1
2310030A07Rik	chr1
Tpr	chr1
BC003331	chr1
Prg4	chr1
Hmcn1	chr1
C730036E19Rik	chr1
Ivns1abp	chr1
Swt1	chr1
Trmt1l	chr1
Mir7682	chr1
Rnf2	chr1
Fam129a	chr1
Edem3	chr1
1700025G04Rik	chr1
Tsen15	chr1
Colgalt2	chr1
Rgl1	chr1
Apobec4	chr1
Arpc5	chr1
Ncf2	chr1
Smg7	chr1
Nmnat2	chr1
Lamc2	chr1
Lamc1	chr1
E330020D12Rik	chr1
Shcbp1l	chr1
Dhx9	chr1
Npl	chr1
Rgs8	chr1
C230024C17Rik	chr1
Rgs16	chr1
Rnasel	chr1
Rgsl1	chr1
Teddm2	chr1
Teddm1b	chr1
Teddm1a	chr1
Mir8114	chr1
Glul	chr1
Zfp648	chr1
4930532M18Rik	chr1
4930452N14Rik	chr1
Cacna1e	chr1
Ier5	chr1
Mr1	chr1
Stx6	chr1
Xpr1	chr1
Gm5532	chr1
Acbd6	chr1
Lhx4	chr1
Qsox1	chr1
Cep350	chr1
Tor1aip1	chr1
Tor1aip2	chr1
Fam163a	chr1
Tdrd5	chr1
Nphs2	chr1
Soat1	chr1
Abl2	chr1
Tor3a	chr1
Fam20b	chr1
Angptl1	chr1
Ralgps2	chr1
Tex35	chr1
2810025M15Rik	chr1
Rasal2	chr1
BC026585	chr1
Sec16b	chr1
Brinp2	chr1
Astn1	chr1
Mir488	chr1
Pappa2	chr1
Rfwd2	chr1
Scarna3a	chr1
Mir1843b	chr1
Tnr	chr1
4930523C07Rik	chr1
4930562F07Rik	chr1
Tnn	chr1
Mrps14	chr1
Cacybp	chr1
Mir1927	chr1
Rabgap1l	chr1
Gpr52	chr1
Rc3h1	chr1
Serpinc1	chr1
Zbtb37	chr1
Gas5	chr1
Snord47	chr1
Dars2	chr1
Cenpl	chr1
Klhl20	chr1
Ankrd45	chr1
4930469G21Rik	chr1
Prdx6	chr1
Tnfsf4	chr1
Tnfsf18	chr1
Fasl	chr1
Suco	chr1
4930558K02Rik	chr1
Pigc	chr1
2810442N19Rik	chr1
Dnm3os	chr1
Mir199a-2	chr1
Mir214	chr1
Dnm3	chr1
Mettl13	chr1
Vamp4	chr1
