name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Xkr4	chr1	29	76	89
Rp1	chr1	1	1	18
Sox17	chr1	1	49	55
Mrpl15	chr1	160	166	167
Lypla1	chr1	163	173	173
Tcea1	chr1	187	187	187
Rgs20	chr1	56	63	96
Atp6v1h	chr1	165	177	177
Oprk1	chr1	2	5	5
Npbwr1	chr1	4	6	8
Rb1cc1	chr1	177	183	183
Fam150a	chr1	17	18	118
St18	chr1	33	57	102
Pcmtd1	chr1	193	193	193
Sntg1	chr1	5	8	34
Rrs1	chr1	185	189	189
Adhfe1	chr1	15	18	101
3110035E14Rik	chr1	0	0	23
2610203C22Rik	chr1	4	40	108
Mybl1	chr1	152	183	183
1700034P13Rik	chr1	33	192	193
Vcpip1	chr1	187	192	192
Sgk3	chr1	113	137	145
Mcmdc2	chr1	5	7	8
Snord87	chr1	0	23	23
Snhg6	chr1	176	178	178
Tcf24	chr1	45	93	93
Ppp1r42	chr1	39	48	139
Cops5	chr1	150	163	163
Cspp1	chr1	108	163	186
Arfgef1	chr1	85	164	167
Cpa6	chr1	2	5	120
Prex2	chr1	26	52	99
A830018L16Rik	chr1	52	55	80
Mir6341	chr1	0	0	0
Gm17644	chr1	0	0	3
Sulf1	chr1	12	24	67
Slco5a1	chr1	43	93	116
Prdm14	chr1	1	4	22
Ncoa2	chr1	177	188	191
Tram1	chr1	114	150	159
Lactb2	chr1	171	173	177
Xkr9	chr1	0	0	22
Gm5523	chr1	0	6	20
Eya1	chr1	93	116	142
Msc	chr1	4	17	17
Trpa1	chr1	16	18	18
Kcnb2	chr1	0	0	97
Terf1	chr1	183	185	185
Sbspon	chr1	23	25	33
4930444P10Rik	chr1	80	86	87
Rpl7	chr1	109	172	172
Rdh10	chr1	107	169	173
Stau2	chr1	80	142	163
Ube2w	chr1	180	184	185
Tceb1	chr1	191	191	191
D030040B21Rik	chr1	24	191	191
Tmem70	chr1	157	164	164
Ly96	chr1	119	140	143
Jph1	chr1	135	145	145
Gdap1	chr1	75	87	89
Pi15	chr1	0	2	54
Crispld1	chr1	19	25	25
Gm16070	chr1	18	25	26
Crisp4	chr1	0	0	0
Defb44-ps	chr1	0	0	1
Defb18	chr1	0	0	0
Defb41	chr1	0	0	0
Gm15386	chr1	0	0	0
Tfap2d	chr1	0	0	2
Tfap2b	chr1	0	2	14
4930486I03Rik	chr1	0	0	0
Pkhd1	chr1	0	0	81
Linc-md1	chr1	2	2	4
Mir206	chr1	1	2	2
Mir133b	chr1	0	0	0
Il17a	chr1	5	6	6
Il17f	chr1	15	15	15
Mcm3	chr1	170	191	191
6720483E21Rik	chr1	149	172	172
Paqr8	chr1	171	172	172
Efhc1	chr1	180	186	187
Tram2	chr1	151	177	183
Tmem14a	chr1	150	161	171
Gsta3	chr1	15	17	39
Gm4956	chr1	0	5	31
Khdc1a	chr1	0	7	7
Khdc1c	chr1	0	5	7
Khdc1b	chr1	0	9	9
Kcnq5	chr1	5	141	161
Rims1	chr1	23	70	89
4933415F23Rik	chr1	0	1	6
Mir30a	chr1	20	26	26
Mir30c-2	chr1	0	2	3
Ogfrl1	chr1	145	181	183
B3gat2	chr1	8	146	166
Smap1	chr1	146	156	163
Sdhaf4	chr1	165	167	167
Fam135a	chr1	151	161	164
Col9a1	chr1	0	2	61
Col19a1	chr1	27	48	113
Lmbrd1	chr1	183	188	188
Gm20172	chr1	0	0	0
Adgrb3	chr1	0	37	76
4931408C20Rik	chr1	92	115	119
Gm597	chr1	0	0	0
Mir6342	chr1	0	0	0
Phf3	chr1	0	0	38
Gm13363	chr1	177	192	192
Ptp4a1	chr1	186	192	192
Lgsn	chr1	0	1	5
4931428L18Rik	chr1	4	7	79
Pih1d3	chr1	4	7	7
Gm4850	chr1	0	3	3
Khdrbs2	chr1	67	75	87
Gm9839	chr1	0	0	0
Gm5415	chr1	0	0	0
Prim2	chr1	134	151	177
1700001G17Rik	chr1	136	151	151
Rab23	chr1	157	163	166
Bag2	chr1	128	142	145
